pool,Fee Tier,Start Date,Expiry Date,Duration(Day),Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio,EfficientRatioB
Ethena sUSDE 27MAR2025,0.001,2024-09-17,2025-03-27,191,6-Stablecoins,Stable,Ethena,1,0.171895569,131886456.9,919304.7815,1369732.111,6613.703464,9854.18785,19470568.07,0.027271781,0.147631292
ether.fi weETH 27JUN2024,0.0003,2024-01-09,2024-06-27,170,2-Restaking,ETH,Ether.fi,1,0.273473729,113169762.6,339111.7124,1913242.003,2006.57818,11320.9586,33558780.62,0.036512844,0.296534868
pumpBTC 27MAR2025,0.0015,2024-10-16,2025-03-27,162,2-Restaking,BTC,pumpBTC,1,0.043912517,87265824.1,5924.662152,9562.676396,61.07899126,98.58429274,398831.3871,0.000412341,0.004570304
Ethena sUSDE 29MAY2025,0.002,2024-11-13,2025-05-29,197,6-Stablecoins,Stable,Ethena,1,0.187128513,85948743.38,430980.5618,608601.8039,5011.401881,7076.765162,5749346.182,0.03005302,0.066892731
Berachain STONE 10APR2025,0.0025,2025-01-14,2025-04-10,86,1-Staking,ETH,Stakestone,1,0.131317801,83341671.67,46257.6848,46257.82647,1927.403533,1927.409436,3566888.183,0.008441209,0.042798376
Corn Bedrock uniBTC 27FEB2025,0.001500004,2024-12-23,2025-02-27,66,2-Restaking,BTC,Bedrock,1,0.066824329,81289181.2,3290.43244,4292.280219,73.12072088,95.38400486,523890.4654,0.000428288,0.006444775
SolvBTC Babylon 27MAR2025,0.001,2024-09-30,2025-03-27,178,2-Restaking,BTC,SolvProtocol,56,0.056456788,75018425.5,47917.10264,71498.45734,368.5930973,549.9881334,1388994.111,0.002675952,0.018515373
Corn SolvBTC Babylon 26DEC2024,0.001,2024-09-16,2024-12-26,101,2-Restaking,BTC,SolvProtocol,1,0.084804454,67026065.38,30855.00422,64806.34937,311.6667092,654.6095896,4320972.484,0.00356477,0.064467047
Corn pumpBTC 26DEC2024,0.001,2024-09-25,2024-12-26,92,2-Restaking,BTC,PumpBTC,1,0.071660174,65959931.15,5908.231736,11175.74416,66.38462624,125.5701591,1588104.508,0.000694863,0.024076807
Corn Bedrock uniBTC 26DEC2024,0.001,2024-09-16,2024-12-26,101,2-Restaking,BTC,Bedrock,1,0.074211494,63690362.3,6118.209111,13992.56587,65.78719475,150.4576976,1031624.387,0.000862251,0.016197496
Wrapped stUSR 27MAR2025,0.004,2024-12-23,2025-03-27,94,7-RWA,Stable,Resolv,1,0.267264879,60766940.48,403319.3188,413015.7727,8767.811279,8978.603755,6850475.949,0.053930482,0.1127336
USD0++ 27MAR2025,0.002,2024-10-16,2025-03-27,162,7-RWA,Stable,Usual,1,0.207664775,56535649.38,556904.7894,851732.7481,4842.650343,7406.371723,7385989.583,0.047816302,0.130643048
Corn SolvBTC Babylon 27FEB2025,0.0012,2024-12-23,2025-02-27,66,2-Restaking,BTC,SolvProtocol,1,0.07725876,50920615.77,17947.69533,21311.39575,390.1672897,463.291212,1141198.102,0.003320881,0.022411318
Lombard LBTC 27MAR2025,0.001,2024-09-30,2025-03-27,178,2-Restaking,BTC,Lombard,1,0.058919697,47287957.82,67873.67154,106866.0738,534.4383586,841.465148,2349848.016,0.006494989,0.049692313
Ethena sUSDE 26SEP2024,0.003,2024-05-20,2024-09-26,129,6-Stablecoins,Stable,Ethena,1,0.209136288,45571557.59,661943.8448,835056.944,5131.347634,6473.309644,8807883.855,0.051847208,0.193275901
Ethena sUSDE 26DEC2024,0.001,2024-07-17,2024-12-26,162,6-Stablecoins,Stable,Ethena,1,0.168416221,44234552.03,227766.2485,388989.5049,1405.964497,2401.169783,14485337.13,0.019813176,0.327466572
ether.fi weETH 26DEC2024,0.001,2024-04-10,2024-12-26,260,2-Restaking,ETH,Ether.fi,1,0.085387803,42911692.56,155012.9912,266711.1596,610.2873669,1050.043935,527601.3848,0.008931506,0.01229505
Puffer ETH 26DEC2024,0.001,2024-09-03,2024-12-26,114,2-Restaking,ETH,Puffer Finance,1,0.05368571,39235968.85,24152.76664,41865.74713,221.5850151,384.0894233,2185759.966,0.003573064,0.055708067
Ethena sUSDE 27FEB2025,0.003999999,2024-12-10,2025-02-27,79,6-Stablecoins,Stable,Ethena,1,0.20807598,39128419.42,339519.7854,369475.8554,5754.572633,6262.302634,11079919.9,0.058416376,0.283168093
Resolv USD 24APR2025,0.004,2025-01-24,2025-04-24,90,6-Stablecoins,Stable,Resolv,8453,0.251902083,38187213.28,86210.53308,86210.53308,5747.368872,5747.368872,5118466.815,0.054934347,0.134036144
Kelp rsETH 27JUN2024,0.001,2024-01-22,2024-06-27,157,2-Restaking,ETH,Kelp,1,0.287205974,37965658.73,190975.4367,533131.7238,1232.099592,3439.559508,4684013.889,0.033067758,0.12337502
cmETH 13FEB2025,0.001,2024-10-29,2025-02-13,107,1-Staking,ETH,Mantle,5000,0.081159905,37577605.49,26758.09372,49426.11637,264.931621,489.3674888,1959805.263,0.00475334,0.052153543
ether.fi weETH 26SEP2024,0.003,2024-05-14,2024-09-26,135,2-Restaking,ETH,Ether.fi,1,0.079604528,31236221.19,92278.8178,121496.4362,688.647894,906.6898221,1287091.704,0.010594809,0.041205103
Renzo ezETH 26DEC2024,0.001,2024-04-21,2024-12-26,249,2-Restaking,ETH,Renzo,1,0.08730041,31179362.05,214609.7912,373231.3773,894.2074633,1555.130739,691802.2341,0.018205078,0.022187825
Corn Lombard LBTC 26DEC2024,0.001,2024-09-09,2024-12-26,108,2-Restaking,BTC,Lombard,1,0.09234264,30273843.25,34760.71525,93055.55303,324.8664977,869.6780657,2779651.61,0.010485372,0.091816939
Renzo ezETH 25APR2024,0.001,2024-01-28,2024-04-25,88,2-Restaking,ETH,Renzo,1,0.436566745,30038461.27,235582.2823,996282.4716,2739.328864,11584.6799,35554040.7,0.14076647,1.183617243
Ether.Fi Liquid Bera ETH 10APR2025,0.003000001,2025-01-07,2025-04-10,93,1-Staking,ETH,Ether.fi,1,0.134225252,28896716.1,70736.2017,71141.25413,2281.812958,2294.879166,3166119.471,0.028987062,0.109566757
Ether.Fi Liquid Bera BTC 10APR2025,0.0025,2025-01-07,2025-04-10,93,1-Staking,BTC,Ether.fi,1,0.158501869,27746111.61,87367.78201,88517.00332,2818.315549,2855.387204,4542662.652,0.037562609,0.163722496
Corn ether.fi eBTC 27MAR2025,0.001,2024-10-16,2025-03-27,162,2-Restaking,BTC,Ether.fi,1,0.073556365,27483601.23,68733.8087,109289.198,602.9281465,958.6771757,2569127.917,0.012731853,0.093478576
Bedrock uniBTC 27MAR2025,0.0015,2024-12-10,2025-03-27,107,2-Restaking,BTC,Bedrock,1,0.041962428,26501574.23,732.9802868,1059.137141,18.32450717,26.47842854,55235.20222,0.000364681,0.002084223
SolvBTC Babylon 27MAR2025,0.0015,2024-12-10,2025-03-27,107,2-Restaking,BTC,Solv Finance,1,0.071586936,26086547.19,12034.43543,27440.65087,267.4318985,609.7922416,818316.6668,0.008532144,0.031369298
stETH 25DEC2025,0.0005,2023-04-05,2025-12-25,995,1-Staking,ETH,Lido,1,0.03629861,25718653.84,60888.89148,337500.6509,115.3198702,639.2057782,118999.1028,0.00907163,0.004626957
Zircuit Staking ezETH 27JUN2024,0.001,2024-03-12,2024-06-27,107,2-Restaking,ETH,Renzo,1,0.331625974,25655900.35,226964.6201,1102091.139,2161.56781,10496.10608,13114601.46,0.149325444,0.511172919
Ethena USDe 25JUL2024,0.01,2024-04-02,2024-07-25,114,6-Stablecoins,Stable,Ethena,1,0.364314282,24853166.41,1897019.024,2471809.239,16640.51776,21682.53719,7460368.95,0.318435323,0.300177805
ether.fi eBTC 26DEC2024,0.002,2024-08-27,2024-12-26,121,2-Restaking,BTC,Ether.fi,1,0.062212237,24818626.35,87304.04245,120753.1678,727.5336871,1006.276399,2575885.441,0.014799001,0.103788397
Super Symbiotic LRT 26DEC2024,0.001,2024-08-13,2024-12-26,135,2-Restaking,ETH,Ether.fi,1,0.057642476,23647023.26,12751.17792,19203.12942,95.8735182,144.3844317,487576.653,0.002228624,0.020618944
Kelp Gain 26DEC2024,0.001,2024-08-19,2024-12-26,129,5-Derivative,Other,Gains,1,0.072082843,23586345.06,17165.45375,46251.94475,136.2337599,367.0789266,643781.6534,0.005680567,0.027294676
USD0++ 30JAN2025,0.002,2024-11-18,2025-01-30,73,7-RWA,Stable,Usual,1,0.213852909,23562380.68,274557.774,301930.8326,3922.253914,4313.297608,9822110.838,0.066816407,0.416855621
Puffer ETH 26SEP2024,0.003,2024-05-20,2024-09-26,129,2-Restaking,ETH,Puffer Finance,1,0.121533996,19195844.78,103595.392,145989.6604,822.1856507,1158.648098,2096802.372,0.022031151,0.109232097
SolvBTC Bera Vault 10APR2025,0.002,2025-01-24,2025-04-10,76,1-Staking,BTC,SolvProtocol,1,0.13638828,18335437.64,5469.082233,5565.98345,390.6487309,397.5702464,621921.0992,0.007914354,0.033919076
weETH 25APR2024,0.001,2024-02-06,2024-04-25,79,2-Restaking,ETH,Ether.fi,42161,0.437112565,18116813.41,227377.0674,471268.6631,2915.090607,6041.905938,29453373.29,0.121726466,1.625748007
Ethena sUSDE 24OCT2024,0.001,2024-07-17,2024-10-24,99,6-Stablecoins,Stable,Ethena,1,0.130781128,17845832.06,54925.64187,85494.68386,554.8044633,863.5826653,4827301.782,0.017662817,0.270500236
Staked ENA 24APR2025,0.005,2024-10-09,2025-04-24,197,6-Stablecoins,Other,Ethena,1,0.450865543,17672360.69,294027.3756,392707.2785,2429.978311,3245.514698,1275733.066,0.067031954,0.072188039
Lombard LBTC 29MAY2025,0.001,2024-11-26,2025-05-29,184,2-Restaking,BTC,Lombard,8453,0.070096981,17468587.49,33852.31447,59118.22717,463.7303352,809.8387284,1263956.349,0.016921296,0.072355956
Zircuit Ether.fi weETH 27JUN2024,0.003,2024-03-26,2024-06-27,93,2-Restaking,ETH,Ether.fi,1,0.365691995,17091843.36,277955.8519,636191.3189,3021.259259,6915.123032,7794216.459,0.147673943,0.456019652
USD0++ 26JUN2025,0.002,2024-11-19,2025-06-26,219,7-RWA,Stable,Usual,1,0.215770165,16934201.21,103977.2013,254095.5343,1316.167105,3216.399169,1353541.975,0.069326311,0.079929485
Puffer ETH 27JUN2024,0.001,2024-02-26,2024-06-27,122,2-Restaking,ETH,Puffer Finance,1,0.319359257,16571641.11,108085.377,636283.7045,893.2675784,5258.543012,7014326.82,0.115822458,0.423272914
Ethena USDe 27MAR2025,0.001,2024-09-17,2025-03-27,191,6-Stablecoins,Stable,Ethena,1,0.174515956,16425656.83,208829.9328,330711.5218,1491.642377,2362.225156,3861673.014,0.052491793,0.235100066
Corn Lombard LBTC 27FEB2025,0.001999997,2024-12-23,2025-02-27,66,2-Restaking,BTC,Lombard,1,0.09246159,16311885.67,19381.43975,22833.43687,421.3356466,496.3790625,1595899.57,0.011107138,0.097836608
Syrup USDC 30JAN2025,0.002,2024-10-15,2025-01-30,107,6-Stablecoins,Stable,Syrup,1,0.15818742,16204257.59,26683.34917,56428.03272,266.8334917,564.2803272,696345.187,0.012710383,0.042972977
weETH 26DEC2024,0.001,2024-08-30,2024-12-26,118,2-Restaking,ETH,Ether.fi,42161,0.047903308,15845186.19,4574.47218,5536.022292,39.435105,47.7243301,367358.6988,0.001099348,0.023184246
USD0++ 31OCT2024,0.001,2024-08-06,2024-10-31,86,7-RWA,Stable,Usual,1,0.186922165,15449816.8,29574.57077,66907.49482,347.9361267,787.1469979,3956413.761,0.01859625,0.256081597
Concrete LBTC Vault 10APR2025,0.003,2025-01-14,2025-04-10,86,1-Staking,BTC,Concrete,1,0.150756297,14312903.26,22603.09319,25079.43923,982.743182,1090.410401,1630809.532,0.027807063,0.113939814
rswETH 27JUN2024,0.01,2024-02-19,2024-06-27,129,2-Restaking,ETH,Swell,1,0.330036951,14022484.08,410903.7605,734650.2519,3210.185629,5739.455093,3280081.109,0.149395863,0.233915838
Ethena sUSDE 25JUL2024,0.01,2024-04-23,2024-07-25,93,6-Stablecoins,Stable,Ethena,1,0.345969331,13719379.75,818411.7909,918306.2001,8800.126784,9874.260217,8331372.557,0.262701743,0.607270351
Karak WEETH 26SEP2024,0.003,2024-05-28,2024-09-26,121,2-Restaking,ETH,Ether.fi,1,0.115126688,13372432.21,47220.23552,84944.82101,393.5019626,707.8735084,594041.8445,0.019321379,0.044422872
Zircuit Staking rsETH 27JUN2024,0.003,2024-03-26,2024-06-27,93,2-Restaking,ETH,Kelp,1,0.367093607,13006030.25,95885.80201,276507.5946,1053.690132,3038.544996,2356463.301,0.085273439,0.181182364
weETH 26SEP2024,0.003,2024-05-14,2024-09-26,135,2-Restaking,ETH,Ether.fi,42161,0.082584372,12384427.95,54691.34412,66370.07613,408.1443591,495.2990756,792259.2797,0.0145977,0.063972214
Ethena USDe 25JUL2024,0.01,2024-04-01,2024-07-25,115,6-Stablecoins,Stable,Ethena,5000,0.397841481,12080857.61,654359.4996,940366.7999,5739.99561,8248.831578,2245097.505,0.249222665,0.185839249
Puffer ETH 26JUN2025,0.0005,2024-11-13,2025-06-26,225,2-Restaking,ETH,Puffer Finance,1,0.046092745,12069925.94,4873.989745,8976.184831,78.61273782,144.7771747,344395.4985,0.004378127,0.028533356
Super Symbiotic LRT 26JUN2025,0.0015,2024-12-18,2025-06-26,190,2-Restaking,ETH,Ether.fi,1,0.050201685,11842266.95,3034.724261,5018.246761,68.97100593,114.0510628,148361.9184,0.003515259,0.012528169
Renzo ezETH 27JUN2024,0.01,2024-03-06,2024-06-27,113,2-Restaking,ETH,Renzo,42161,0.367173724,11043465.38,502520.0697,782965.216,4447.080263,6928.895717,8268966.54,0.229008454,0.74876556
Treehouse ETH 29MAY2025,0.0025,2025-02-06,2025-05-29,112,1-Staking,ETH,Treehouse,1,0.120644503,10655546.09,4800.589002,5388.958059,2400.294501,2694.47903,3155505.529,0.09229793,0.296137383
mPendle 26SEP2024,0.001,2023-09-18,2024-09-26,374,8-Other,Other,Penpie,42161,0.07759923,9162600.316,13309.96726,28177.76674,37.92013464,80.27853771,62120.37616,0.003197964,0.006779776
USD0++ 24APR2025,0.005,2024-12-10,2025-04-24,135,7-RWA,Stable,Usual,1,0.222321516,9144143.167,30508.88039,44942.37933,554.7069162,817.1341696,357167.9053,0.03261694,0.039059746
Super Symbiotic LRT 29AUG2024,0.003,2024-06-19,2024-08-29,71,2-Restaking,ETH,Ether.fi,1,0.142732351,9062378.441,91355.49318,128615.1887,1305.078474,1837.359839,5359476.914,0.074002244,0.591398489
rswETH 26DEC2024,0.001,2024-09-03,2024-12-26,114,2-Restaking,ETH,Swell,1,0.046975887,8962482.595,1658.753709,2653.212624,16.92605826,27.0735982,212379.8098,0.001102581,0.023696538
Kelp Gain 26JUN2025,0.001,2024-11-13,2025-06-26,225,2-Restaking,Stable,Kelp DAO,1,0.057230223,8738329.035,5174.713802,8690.710477,77.23453436,129.7120967,164901.544,0.005418074,0.018871061
rsETH 25APR2024,0.001,2024-02-13,2024-04-25,72,2-Restaking,ETH,Kelp,42161,0.40352169,8716600.233,52254.01813,156147.8934,735.9720863,2199.266105,7189923.393,0.092092342,0.824854095
Concrete USDe Vault 10APR2025,0.004999998,2025-01-09,2025-04-10,91,1-Staking,Stable,Ethena,1,0.255197903,8561074.226,26897.02918,26924.07833,927.4837648,928.4164942,800265.3253,0.039582885,0.093477209
USD0++ 27FEB2025,0.0035,2024-12-10,2025-02-27,79,7-RWA,Stable,Usual,1,0.258966761,8559582.219,50986.08128,55446.87072,894.4926541,972.7521179,1109433.879,0.041480357,0.129613087
Kelp rsETH 26SEP2024,0.003,2024-05-20,2024-09-26,129,2-Restaking,ETH,Kelp DAO,1,0.093652832,8509418.881,17654.45723,26268.92327,141.2356578,210.1513862,247116.2183,0.009014159,0.029040317
Mellow ENA 27MAR2025,0.005,2024-09-24,2025-03-27,184,6-Stablecoins,Other,Ethena,1,0.48885157,8474633.184,101166.1754,187378.3777,749.3790767,1387.987983,474216.0935,0.059780241,0.055957123
weETH 27JUN2024,0.01,2024-04-03,2024-06-27,85,2-Restaking,ETH,Ether.fi,42161,0.309855658,8316239.143,360609.1318,407368.7977,4292.965855,4849.628544,3932760.993,0.212850351,0.472901383
ether.fi weETH 26JUN2025,0.0005,2024-11-07,2025-06-26,231,2-Restaking,ETH,Ether.fi,1,0.037113752,8052014.865,3855.030677,6197.446673,55.87000982,89.81806772,238475.0245,0.004071477,0.029616814
swETH 26DEC2024,0.0005,2023-07-18,2024-12-26,527,2-Restaking,ETH,Swell,1,0.038335208,8009341.851,25162.29228,41397.70174,54.81980889,90.19107134,82339.43999,0.004110168,0.010280425
rswETH 26JUN2025,0.0005,2024-11-15,2025-06-26,223,2-Restaking,ETH,Swell,1,0.046368889,7808746.974,2001.354119,5813.628882,43.50769824,126.3832366,185704.3055,0.005907463,0.023781575
Syrup USDC 24APR2025,0.0035,2025-01-21,2025-04-24,93,3-Lending,Stable,Syrup,1,0.151660902,7717402.671,3023.559686,3858.329709,201.5706457,257.2219806,261197.3113,0.012165495,0.033845236
King Karak LRT 26SEP2024,0.001,2024-07-10,2024-09-26,78,2-Restaking,ETH,Ether.fi,1,0.097524505,7639386.524,16682.8144,41519.39792,213.882236,532.2999733,1518077.919,0.025432604,0.198717255
mPendle 27MAR2025,0.0015,2024-12-20,2025-03-27,97,8-Other,Other,mPendle,42161,0.047189886,7580184.4,622.4064201,877.9615948,12.96680042,18.29086656,39079.35092,0.000880739,0.005155462
USUALX 27MAR2025,0.02,2024-12-20,2025-03-27,97,6-Stablecoins,Other,Usual,1,1.414833232,7557514.454,410948.9924,420511.1122,8218.979848,8410.222245,1113853.358,0.406182633,0.147383556
GLP 28MAR2024,0.001,2023-02-23,2024-03-28,399,5-Derivative,Other,GMX,42161,0.159497587,7552549.247,40354.27537,87657.45219,101.9047358,221.3572025,246929.3221,0.010697763,0.032694831
Mellow sUSDe 27MAR2025,0.002,2024-09-24,2025-03-27,184,2-Restaking,Stable,Mellow Protocol,1,0.178044265,7511863.661,7212.348215,14736.84083,62.17541564,127.0417313,98534.82477,0.006172933,0.013117228
Zircuit Staking USDe 27JUN2024,0.01,2024-04-05,2024-06-27,83,6-Stablecoins,Stable,Ethena,1,0.458686316,7386920.063,344174.5251,444019.4826,4469.799027,5766.486786,3694725.029,0.284931698,0.500171248
Kelp rsETH 26JUN2025,0.0005,2024-11-06,2025-06-26,232,2-Restaking,ETH,Kelp,1,0.037202894,7197648.701,1920.481419,6464.035255,29.09820332,97.93992811,108318.8236,0.004966632,0.015049196
Renzo ezETH 26SEP2024,0.003,2024-05-14,2024-09-26,135,2-Restaking,ETH,Renzo,42161,0.088915784,6977605.236,34259.26226,48320.62929,253.7723131,357.9305873,427751.0449,0.018723424,0.061303417
Renzo ezETH 26SEP2024,0.003,2024-05-14,2024-09-26,135,2-Restaking,ETH,Renzo,1,0.091878837,6756284.838,18167.13813,28288.2399,152.6650263,237.7163017,237512.1259,0.012842332,0.03515425
King Karak LRT 26DEC2024,0.001,2024-09-03,2024-12-26,114,2-Restaking,ETH,Ether.fi,1,0.061113362,6492482.63,2873.334095,7421.268732,31.57509995,81.55240365,228239.2081,0.004584784,0.035154381
mPendle SY 26DEC2024,0.001,2024-10-16,2024-12-26,71,8-Other,Other,Penpie,42161,0.051638122,6444374.052,876.1117513,2959.568301,12.33960213,41.68406057,189290.7518,0.002360925,0.029373024
Concrete sUSDe Vault 10APR2025,0.004999998,2025-01-09,2025-04-10,91,6-Stablecoins,Stable,Ethena,1,0.248066347,6356702.533,22089.22904,22110.04476,761.697553,762.4153366,682802.5095,0.043777666,0.107414576
Concrete WBTC Vault 10APR2025,0.003,2025-01-14,2025-04-10,86,1-Staking,BTC,Concrete,1,0.149710111,6247227.966,11642.53791,11695.24497,506.1973005,508.4889117,823558.1929,0.029708929,0.13182778
Ethena USDe 24OCT2024,0.001,2024-07-17,2024-10-24,99,6-Stablecoins,Stable,Ethena,1,0.11911658,6199194.443,9044.645114,29902.37633,92.29229708,305.1262891,665388.3771,0.017965414,0.107334652
Ethena USDe 4APR2024,0.003,2024-02-27,2024-04-04,37,6-Stablecoins,Stable,Ethena,1,1.533667281,6133934.003,106366.6539,453315.3943,2874.774428,12251.76741,15032211.89,0.729041934,2.450664106
rswETH 26SEP2024,0.001,2024-06-24,2024-09-26,94,2-Restaking,ETH,Swell,1,0.089386352,6101171.489,5242.448039,11975.03299,57.60931911,131.5937691,421172.8869,0.007872541,0.069031478
Karak WEETH 26DEC2024,0.001,2024-09-03,2024-12-26,114,2-Restaking,ETH,Ether.fi,1,0.059093906,6061039.975,2198.71544,4135.937887,29.31620587,55.14583849,226276.1813,0.00332092,0.037332897
gUSDC 26DEC2024,0.001,2024-07-30,2024-12-26,149,5-Derivative,Stable,Gains Network,42161,0.095042557,6043918.639,4778.846635,9444.425162,32.28950429,63.81368353,176397.6272,0.00385379,0.02918597
stETH 26DEC2024,0.0005,2023-03-24,2024-12-26,643,1-Staking,ETH,Lido,1,0.040919144,5973268.817,20296.9878,39949.11338,43.64943613,85.91207178,44899.13598,0.005249706,0.007516678
Swell L2 Deposit RswETH 25JUL2024,0.003,2024-05-14,2024-07-25,72,2-Restaking,ETH,Swell,1,0.165535454,5951411.368,19233.87552,32942.21456,274.7696503,470.6030651,1269351.87,0.028862081,0.213285856
rETH 26JUN2025,0.001,2023-06-06,2025-06-26,751,1-Staking,ETH,Rocketpool,42161,0.03188226,5921635.811,30056.39272,35780.15406,49.11175281,58.46430402,35226.19772,0.003603645,0.005948727
Silo crvUSD 27JUN2024,0.0005,2024-01-09,2024-06-27,170,3-Lending,Stable,Silo,1,0.186421543,5818617.374,8121.741748,83990.72585,53.4325115,552.5705648,516409.2224,0.034662574,0.088751191
rsETH 26DEC2024,0.001,2024-08-30,2024-12-26,118,2-Restaking,ETH,Kelp,42161,0.050825086,5758971.269,2901.04046,4598.994997,25.22643879,39.99126084,241806.8799,0.002534621,0.04198786
aUSDC 27JUN2024,0.0005,2023-12-11,2024-06-27,199,3-Lending,Stable,AAVE,42161,0.092942604,5723375.395,23200.31017,50831.58285,117.7680719,258.0283393,674429.7872,0.016455385,0.117837769
Mellow pzETH 26SEP2024,0.003,2024-07-02,2024-09-26,86,2-Restaking,ETH,Mellow Protocol,1,0.125400325,5657387.339,36630.32658,48248.07454,425.93403,561.0241226,1145317.276,0.036195825,0.202446325
rsETH 26SEP2024,0.003,2024-05-20,2024-09-26,129,2-Restaking,ETH,Kelp,42161,0.088932643,5590970.289,23210.75638,33393.04901,182.7618612,262.9373938,360778.818,0.017165562,0.064528838
sfrxETH 26DEC2024,0.0005,2023-04-05,2024-12-26,631,1-Staking,ETH,Frax,1,0.048687293,5529152.171,13026.47224,24515.48552,39.11853524,73.62007663,40160.12513,0.004859936,0.007263342
USDa saving token 24APR2025,0.005,2025-01-24,2025-04-24,90,6-Stablecoins,Stable,Avalon,1,0.24461343,5478600.712,6337.515677,6521.517476,422.5010451,434.7678317,364567.7403,0.028965473,0.066543952
BTC-Zerolend eBTC 27MAR2025,0.001,2024-11-13,2025-03-27,134,3-Lending,BTC,Zerolend,1,0.066352728,5322980.915,4012.33934,7582.529906,50.78910557,95.98139121,212156.5213,0.006581502,0.039856713
swETH 27JUN2024,0.0005,2023-09-25,2024-06-27,276,2-Restaking,ETH,Swell,1,0.035448299,5290232.638,15804.79224,24890.96547,63.72900098,100.3667962,224632.9518,0.006924815,0.042461829
Kelp rsETH 26DEC2024,0.001,2024-08-20,2024-12-26,128,2-Restaking,ETH,Kelp DAO,1,0.050553804,5227274.597,1886.149755,5074.17371,17.963331,48.32546391,179619.4272,0.003374377,0.034361965
Zircuit Ether.fi weETH 22AUG2024,0.003,2024-06-24,2024-08-22,59,2-Restaking,ETH,Ether.fi,1,0.086155522,5212444.023,28754.31147,38543.8462,495.7639908,664.5490724,1892779.125,0.046534871,0.363126993
mETH 26DEC2024,0.001,2024-08-06,2024-12-26,142,1-Staking,ETH,Mantle,5000,0.069895723,5079431.211,8009.490785,16543.98332,56.80489919,117.333215,233439.9035,0.008431382,0.045957883
Stader Staking ETHx 26DEC2024,0.0005,2023-09-20,2024-12-26,463,1-Staking,ETH,Stader,1,0.034335335,4955151.665,3667.85086,4766.885493,14.73032474,19.14411845,27068.90712,0.001410169,0.005462781
ether.fi weETH 25JUL2024,0.001,2024-06-18,2024-07-25,37,2-Restaking,ETH,Ether.fi,1,0.079923249,4895948.137,4392.186807,7721.000082,118.7077515,208.6756779,2609109.557,0.015557073,0.532912009
ePendle 26SEP2024,0.0005,2023-10-31,2024-09-26,331,8-Other,Other,Equilibria,1,0.101537268,4782256.437,1738.244543,5106.420187,9.395916448,27.60227128,48116.19861,0.00210671,0.010061401
Silo crvUSD 28MAR2024,0.0005,2023-10-11,2024-03-28,169,3-Lending,Stable,Silo,1,0.104976346,4779538.989,20959.46825,60860.81733,143.5580017,416.8549132,660457.0269,0.031834042,0.138184253
Amphor LRT 26SEP2024,0.003,2024-07-22,2024-09-26,66,2-Restaking,ETH,Amphor,1,0.13209528,4736526.272,3633.077177,7400.048119,59.55864224,121.3122642,241188.3859,0.009348407,0.050920943
gDAI 28MAR2024,0.001,2023-03-07,2024-03-28,387,5-Derivative,Stable,Gains Network,42161,0.105515412,4716362.826,20980.72265,52857.27593,54.63729856,137.6491561,216371.8637,0.010652688,0.045876849
rsETH 27JUN2024,0.01,2024-04-03,2024-06-27,85,2-Restaking,ETH,Kelp,42161,0.325248615,4707793.961,150574.1985,176363.3173,1792.549982,2099.563301,1376566.911,0.162781254,0.29240169
Zircuit Staking rsETH 22AUG2024,0.003,2024-06-24,2024-08-22,59,2-Restaking,ETH,Kelp,1,0.108755733,4699389.063,17171.19685,29215.73358,296.055118,503.7195444,1065369.122,0.039123731,0.22670375
weETH 26JUN2025,0.0005,2024-11-07,2025-06-26,231,2-Restaking,ETH,Ether.fi,42161,0.038734644,4501970.234,2299.789628,3973.375415,24.99771334,43.18886321,105589.4543,0.003501564,0.023454054
Bedrock UniETH 27JUN2024,0.01,2024-02-23,2024-06-27,125,2-Restaking,ETH,Bedrock,1,0.325538902,4365382.786,29604.85235,134357.4734,250.8885793,1138.622656,380446.1786,0.095202939,0.087150703
