"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2024","2.5535","2.5376","2.5580","2.5312","1.34B","2.40%"
"12/07/2024","2.4936","2.4252","2.5673","2.3874","1.39B","2.83%"
"12/06/2024","2.4251","2.2443","2.4634","2.2335","1.60B","8.03%"
"12/05/2024","2.2449","2.3602","2.4962","2.1772","2.41B","-4.91%"
"12/04/2024","2.3608","2.5122","2.6745","2.2937","2.35B","-6.02%"
"12/03/2024","2.5121","2.7225","2.8928","2.3236","3.95B","-7.73%"
"12/02/2024","2.7225","2.2969","2.8586","2.2182","2.67B","18.52%"
"12/01/2024","2.2970","1.9482","2.3446","1.8514","2.13B","17.87%"
"11/30/2024","1.9488","1.7981","1.9550","1.7657","2.03B","8.42%"
"11/29/2024","1.7974","1.5423","1.8133","1.5250","1.75B","16.54%"
"11/28/2024","1.5424","1.4706","1.5457","1.4325","865.88M","4.81%"
"11/27/2024","1.4715","1.4001","1.5177","1.3547","9.98M","5.01%"
"11/26/2024","1.4013","1.4128","1.4580","1.2853","1.08B","-0.85%"
"11/25/2024","1.4133","1.4339","1.5367","1.3583","1.80B","-1.43%"
"11/24/2024","1.4338","1.4683","1.5113","1.2882","1.89B","-2.35%"
"11/23/2024","1.4683","1.4714","1.6292","1.4262","2.31B","-0.10%"
"11/22/2024","1.4698","1.2491","1.4980","1.2484","3.07B","17.66%"
"11/21/2024","1.2492","1.1043","1.2608","1.0797","1.99B","13.11%"
"11/20/2024","1.1044","1.1002","1.1498","1.0584","1.23B","0.40%"
"11/19/2024","1.1001","1.1143","1.1479","1.0710","1.17B","-1.31%"
"11/18/2024","1.1146","1.0540","1.1843","1.0540","1.90B","5.76%"
"11/17/2024","1.0539","1.1187","1.1575","1.0057","2.37B","-5.79%"
"11/16/2024","1.1187","0.8920","1.2608","0.8784","3.85B","25.42%"
"11/15/2024","0.8919","0.7727","0.9255","0.7713","2.83B","15.45%"
"11/14/2024","0.7726","0.6901","0.8477","0.6847","2.71B","11.93%"
"11/13/2024","0.6902","0.7044","0.7473","0.6421","2.45B","-1.90%"
"11/12/2024","0.7036","0.6207","0.7385","0.5984","3.40B","13.38%"
"11/11/2024","0.6206","0.5884","0.6340","0.5708","1.35B","5.49%"
"11/10/2024","0.5883","0.5593","0.6172","0.5557","1.50B","5.20%"
"11/09/2024","0.5592","0.5537","0.5616","0.5441","495.79M","0.99%"
"11/08/2024","0.5537","0.5553","0.5600","0.5416","553.24M","-0.30%"