Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2022/5/31,6375,36300,2.52K,10.49M,$210.42M,$2.30M,$0.00M,$2.30M,,,
2022/6/1,6323,37009,2.52K,10.47M,$219.00M,$2.60M,$0.00M,$2.60M,,,
2022/6/2,6117,35719,2.53K,10.46M,$204.44M,$2.27M,$0.00M,$2.27M,,,
2022/6/3,5518,30562,2.53K,10.47M,$205.79M,$0.70M,$0.00M,$0.70M,,,
2022/6/4,5457,28152,2.53K,10.46M,$218.85M,$2.08M,$0.00M,$2.08M,,,
2022/6/5,5272,26459,2.53K,10.45M,$200.50M,$2.12M,$0.00M,$2.12M,,,
2022/6/6,5011,29674,2.53K,10.45M,$204.99M,$2.40M,$0.00M,$2.40M,,,
2022/6/7,5239,30878,2.55K,10.45M,$204.00M,$2.55M,$0.00M,$2.55M,,,
2022/6/8,5528,27413,2.55K,10.45M,$205.97M,$2.23M,$0.00M,$2.23M,,,
2022/6/9,5447,28767,2.55K,10.34M,$198.87M,$2.16M,$0.00M,$2.16M,,,
2022/6/10,4938,29085,2.55K,10.34M,$180.60M,$2.22M,$0.00M,$2.22M,,,
2022/6/11,4648,32758,2.55K,10.33M,$172.86M,$2.50M,$0.00M,$2.50M,,,
2022/6/12,5060,36066,2.56K,10.32M,$162.42M,$2.62M,$0.00M,$2.62M,,,
2022/6/13,5144,47558,2.56K,10.32M,$158.76M,$3.00M,$0.00M,$3.00M,,,
2022/6/14,4503,43292,2.56K,10.31M,$168.15M,$2.59M,$0.00M,$2.59M,,,
2022/6/15,5087,47986,2.57K,10.31M,$159.57M,$2.62M,$0.00M,$2.62M,,,
2022/6/16,4608,31395,2.57K,10.31M,$157.44M,$2.61M,$0.00M,$2.61M,,,
2022/6/17,4230,35319,2.57K,10.30M,$148.17M,$2.16M,$0.00M,$2.16M,,,
2022/6/18,5368,41988,2.57K,10.29M,$151.17M,$2.73M,$0.00M,$2.73M,,,
2022/6/19,5016,47721,2.58K,10.29M,$154.20M,$2.32M,$0.00M,$2.32M,,,
2022/6/20,9907,46217,2.58K,10.28M,$156.68M,$2.15M,$0.00M,$2.15M,,,
2022/6/21,5298,36411,2.58K,10.27M,$167.75M,$2.46M,$0.00M,$2.46M,,,
2022/6/22,12207,62540,2.58K,10.25M,$200.69M,$2.35M,$0.00M,$2.35M,,,
2022/6/23,5105,33370,2.58K,10.23M,$238.68M,$2.68M,$0.00M,$2.68M,,,
2022/6/24,5645,48757,2.59K,10.21M,$193.82M,$2.41M,$0.00M,$2.41M,,,
2022/6/25,7451,38685,2.59K,10.20M,$202.00M,$2.26M,$0.00M,$2.26M,,,
2022/6/26,7488,48573,2.59K,10.18M,$194.04M,$3.48M,$0.00M,$3.48M,,,
2022/6/27,6955,40729,2.59K,10.17M,$193.70M,$3.86M,$0.00M,$3.86M,,,
2022/6/28,7047,41037,2.60K,10.17M,$192.44M,$3.75M,$0.00M,$3.75M,,,
2022/6/29,6366,37799,2.60K,10.16M,$192.08M,$3.65M,$0.00M,$3.65M,,,
2022/6/30,5402,43498,2.60K,10.15M,$178.21M,$3.72M,$0.00M,$3.72M,,,
2022/7/1,5517,37056,2.60K,10.14M,$180.07M,$3.28M,$0.00M,$3.28M,,,
2022/7/2,6184,38887,2.60K,10.13M,$176.94M,$3.25M,$0.00M,$3.25M,,,
2022/7/3,7007,40474,2.60K,10.12M,$174.31M,$2.31M,$0.00M,$2.31M,,,
2022/7/4,6053,36049,2.60K,10.11M,$172.21M,$2.49M,$0.00M,$2.49M,,,
2022/7/5,6029,35800,2.61K,10.10M,$177.43M,$2.35M,$0.00M,$2.35M,,,
2022/7/6,6425,34168,2.61K,10.09M,$189.53M,$2.54M,$0.00M,$2.54M,,,
2022/7/7,6781,38274,2.62K,10.08M,$176.78M,$2.80M,$0.00M,$2.80M,,,
2022/7/8,5205,34157,2.62K,10.07M,$172.17M,$2.32M,$0.00M,$2.32M,,,
2022/7/9,5358,30751,2.62K,10.07M,$167.92M,$2.07M,$0.00M,$2.07M,,,
2022/7/10,4871,28599,2.62K,10.07M,$161.49M,$2.32M,$0.00M,$2.32M,,,
2022/7/11,5174,32372,2.63K,10.06M,$160.62M,$2.30M,$0.00M,$2.30M,,,
2022/7/12,5326,34336,2.64K,10.05M,$161.16M,$2.26M,$0.00M,$2.26M,,,
2022/7/13,4830,28117,2.64K,10.04M,$169.08M,$2.60M,$0.00M,$2.60M,,,
2022/7/14,5079,30492,2.65K,10.04M,$175.68M,$2.12M,$0.00M,$2.12M,,,
2022/7/15,5261,32653,2.65K,10.04M,$163.96M,$1.03M,$0.00M,$1.03M,,,
2022/7/16,4940,31267,2.65K,10.03M,$160.94M,$2.46M,$0.00M,$2.46M,,,
2022/7/17,5088,28071,2.65K,10.02M,$157.94M,$1.13M,$0.00M,$1.13M,,,
2022/7/18,5981,34904,2.65K,10.01M,$172.29M,$1.10M,$0.00M,$1.10M,,,
2022/7/19,5018,34718,2.65K,10.00M,$166.72M,$1.39M,$0.00M,$1.39M,,,
2022/7/20,4885,32127,2.65K,9.98M,$155.38M,$1.23M,$0.00M,$1.23M,,,
2022/7/21,4484,31426,2.66K,9.97M,$170.70M,$1.02M,$0.00M,$1.02M,,,
2022/7/22,4628,30688,2.66K,9.97M,$169.57M,$0.80M,$0.00M,$0.80M,,,
2022/7/23,4305,23903,2.66K,9.96M,$166.31M,$0.63M,$0.00M,$0.63M,,,
2022/7/24,5243,29653,2.66K,9.97M,$139.29M,$0.67M,$0.00M,$0.67M,,,
2022/7/25,7778,35723,2.67K,9.97M,$160.34M,$0.70M,$0.00M,$0.70M,,,
2022/7/26,4383,26849,2.67K,9.96M,$175.84M,$0.94M,$0.00M,$0.94M,,,
2022/7/27,4778,30684,2.67K,9.95M,$180.20M,$0.99M,$0.00M,$0.99M,,,
2022/7/28,4554,30520,2.67K,9.95M,$206.87M,$1.16M,$0.00M,$1.16M,,,
2022/7/29,4427,29083,2.67K,9.93M,$217.19M,$0.81M,$0.00M,$0.81M,,,
2022/7/30,5095,36280,2.67K,9.92M,$214.87M,$1.49M,$0.00M,$1.49M,,,
2022/7/31,4737,28447,2.68K,9.91M,$199.48M,$0.77M,$0.00M,$0.77M,,,
2022/8/1,4520,25447,2.68K,9.90M,$196.90M,$0.88M,$0.00M,$0.88M,,,
2022/8/2,4182,25733,2.68K,9.89M,$198.97M,$0.60M,$0.00M,$0.60M,,,
2022/8/3,4385,22321,2.68K,9.88M,$202.17M,$0.54M,$0.00M,$0.54M,,,
2022/8/4,4501,23865,2.69K,9.87M,$197.07M,$0.65M,$0.00M,$0.65M,,,
2022/8/5,4200,30543,2.69K,7.40M,$191.68M,$0.63M,$0.00M,$0.63M,,,
2022/8/6,3912,33526,2.69K,9.78M,$192.31M,$1.10M,$0.00M,$1.10M,,,
2022/8/7,4448,24739,2.69K,9.73M,$185.46M,$0.83M,$0.00M,$0.83M,,,
2022/8/8,4295,28733,2.69K,9.64M,$175.14M,$0.78M,$0.00M,$0.78M,,,
2022/8/9,4364,21780,2.70K,9.58M,$180.84M,$0.87M,$0.00M,$0.87M,,,
2022/8/10,4373,23366,2.70K,9.48M,$181.17M,$0.88M,$0.00M,$0.88M,,,
2022/8/11,3999,22140,2.70K,9.45M,$191.39M,$0.67M,$0.00M,$0.67M,,,
2022/8/12,4242,22935,2.70K,9.44M,$200.74M,$1.09M,$0.00M,$1.09M,,,
2022/8/13,4988,28229,2.70K,9.43M,$197.36M,$0.87M,$0.00M,$0.87M,,,
2022/8/14,4623,24859,2.70K,9.42M,$197.76M,$0.89M,$0.00M,$0.89M,,,
2022/8/15,4859,28135,2.71K,9.41M,$198.47M,$0.99M,$0.00M,$0.99M,,,
2022/8/16,4537,26981,2.71K,9.40M,$179.36M,$0.81M,$0.00M,$0.81M,,,
2022/8/17,4395,28718,2.71K,9.40M,$167.93M,$1.10M,$0.00M,$1.10M,,,
2022/8/18,4526,25366,2.71K,9.40M,$156.05M,$0.93M,$0.00M,$0.93M,,,
2022/8/19,4679,33371,2.72K,9.38M,$153.97M,$0.95M,$0.00M,$0.95M,,,
2022/8/20,3916,26064,2.72K,9.37M,$156.77M,$0.83M,$0.00M,$0.83M,,,
2022/8/21,3909,24649,2.72K,9.35M,$152.68M,$0.69M,$3.41M,$4.10M,,,
2022/8/22,3392,24068,2.72K,9.35M,$152.08M,,$3.48M,$4.17M,,,
2022/8/23,3255,22807,2.72K,9.35M,$154.87M,$0.66M,$3.09M,$3.76M,,,
2022/8/24,3610,21563,2.72K,9.34M,$154.74M,$0.50M,$3.11M,$3.61M,,,
2022/8/25,3880,22794,2.72K,9.33M,$150.82M,$0.62M,$3.32M,$3.94M,,,
2022/8/26,4201,28349,2.72K,9.33M,$149.49M,$1.40M,$3.21M,$4.61M,,,
2022/8/27,3316,20265,2.72K,9.32M,$144.25M,$0.75M,$2.90M,$3.65M,,,
2022/8/28,3304,22711,2.73K,9.32M,$141.62M,$0.71M,$2.71M,$3.41M,,,
2022/8/29,4437,26604,2.73K,9.32M,$145.29M,$0.57M,$2.62M,$3.19M,,,
2022/8/30,4669,27697,2.73K,9.31M,$145.98M,$0.92M,$2.88M,$3.80M,,,
2022/8/31,3981,24602,2.73K,9.30M,$143.03M,$0.69M,$2.54M,$3.23M,,,
2022/9/1,3936,24426,2.73K,9.29M,$146.86M,$0.86M,$2.47M,$3.33M,,,
2022/9/2,4712,25787,2.73K,9.30M,$146.51M,$0.72M,$2.37M,$3.09M,,,
2022/9/3,3941,24784,2.73K,9.29M,$147.72M,$0.54M,$2.07M,$2.61M,,,
2022/9/4,3571,19478,2.74K,9.30M,$150.73M,$0.53M,$2.33M,$2.86M,,,
2022/9/5,4600,26602,2.74K,9.30M,$146.46M,$0.95M,$2.44M,$3.40M,,,
2022/9/6,6679,34130,2.74K,9.28M,$136.08M,$1.15M,$2.46M,$3.62M,,,
2022/9/7,5872,33002,2.75K,9.28M,$137.63M,$0.81M,$2.35M,$3.16M,,,
2022/9/8,4416,23914,2.76K,9.27M,$139.98M,$0.57M,$2.38M,$2.95M,,,
2022/9/9,4683,27769,2.76K,9.26M,$143.72M,$0.72M,$2.22M,$2.95M,,,
2022/9/10,4544,28041,2.76K,9.26M,$149.04M,$0.67M,$2.40M,$3.07M,,,
2022/9/11,4052,27295,2.76K,9.26M,$145.88M,$0.79M,$2.88M,$3.67M,,,
2022/9/12,4200,23972,2.76K,9.25M,$166.20M,$0.74M,$2.93M,$3.67M,,,
2022/9/13,3981,29571,2.76K,9.27M,$153.08M,$1.13M,$2.92M,$4.05M,,,
2022/9/14,3983,46627,2.76K,9.27M,$159.44M,$0.68M,$2.72M,$3.39M,,,
2022/9/15,4425,72041,2.76K,9.27M,$149.89M,$0.89M,$2.81M,$3.70M,,,
2022/9/16,3995,52567,2.77K,9.27M,$156.84M,$0.84M,$2.89M,$3.73M,,,
2022/9/17,4778,55554,2.78K,9.27M,$156.52M,$1.04M,$3.13M,$4.17M,,,
2022/9/18,4846,63447,2.78K,9.25M,$146.19M,$1.29M,$3.02M,$4.31M,,,
2022/9/19,5511,84849,2.78K,9.24M,$143.58M,$1.12M,$2.95M,$4.06M,,,
2022/9/20,4650,46164,2.78K,9.23M,$155.29M,$1.92M,$3.08M,$5.01M,,,
2022/9/21,4438,39736,2.78K,9.23M,$139.97M,$1.49M,$3.12M,$4.60M,,,
2022/9/22,5394,53147,2.78K,9.21M,$170.69M,$3.96M,$2.98M,$6.94M,,,
2022/9/23,6978,68290,2.79K,9.18M,$162.47M,$2.73M,$2.85M,$5.58M,,,
2022/9/24,5842,29128,2.79K,9.16M,$158.45M,$0.83M,$3.03M,$3.85M,,,
2022/9/25,6563,32066,2.80K,9.13M,$161.84M,$1.07M,$2.61M,$3.68M,,,
2022/9/26,5341,25927,2.81K,9.11M,$154.71M,$0.99M,$2.89M,$3.88M,,,
2022/9/27,4708,23851,2.85K,9.12M,$148.04M,$1.09M,$2.49M,$3.58M,,,
2022/9/28,4990,23384,2.85K,9.12M,$144.93M,$0.71M,$2.44M,$3.15M,,,
2022/9/29,5170,29903,2.85K,9.12M,$149.67M,$1.33M,$2.31M,$3.63M,,,
2022/9/30,4594,26670,2.85K,9.11M,$144.94M,$0.90M,$2.22M,$3.11M,,,
2022/10/1,3874,23964,2.86K,9.10M,$148.39M,$0.57M,$2.22M,$2.79M,,,
2022/10/2,3949,22886,2.86K,9.09M,$138.93M,$0.82M,$2.69M,$3.51M,,,
2022/10/3,3462,21903,2.86K,9.08M,$144.60M,$0.95M,$2.66M,$3.62M,,,
2022/10/4,3292,22149,2.86K,9.07M,$152.19M,$0.65M,$3.03M,$3.67M,,,
2022/10/5,3679,29473,2.87K,9.07M,$162.58M,$1.42M,$4.06M,$5.47M,,,
2022/10/6,3968,26156,2.87K,9.06M,$161.15M,$0.78M,$3.16M,$3.94M,,,
2022/10/7,4615,33651,2.87K,9.06M,$190.51M,$2.54M,$5.80M,$8.35M,,,
2022/10/8,4513,39364,2.87K,9.05M,$193.39M,$1.67M,$5.63M,$7.30M,,,
2022/10/9,4208,35666,2.87K,9.04M,$206.24M,$1.83M,$6.35M,$8.18M,,,
2022/10/10,4515,38957,2.86K,9.02M,$200.31M,$1.60M,$5.19M,$6.79M,,,
2022/10/11,4301,46643,2.87K,9.03M,$247.92M,$4.11M,$8.66M,$12.77M,,,
2022/10/12,6199,60197,2.89K,9.02M,$257.44M,$5.17M,$12.05M,$17.22M,,,
2022/10/13,7102,57619,2.89K,9.01M,$266.53M,$3.99M,$8.64M,$12.63M,,,
2022/10/14,5357,50466,2.89K,9.00M,$243.54M,$2.17M,$6.19M,$8.36M,,,
2022/10/15,4096,45782,2.90K,8.99M,$252.65M,$2.70M,$9.04M,$11.74M,,,
2022/10/16,3784,37830,2.90K,9.01M,$236.90M,$1.60M,$5.78M,$7.38M,,,
2022/10/17,3974,44300,2.90K,9.01M,$239.22M,$1.36M,$5.06M,$6.42M,,,
2022/10/18,4136,47775,2.90K,9.01M,$227.90M,$1.42M,$5.12M,$6.54M,,,
2022/10/19,4861,36627,2.90K,9.00M,$220.54M,$1.47M,$4.96M,$6.43M,,,
2022/10/20,4606,35861,2.90K,9.00M,$220.70M,$1.87M,$4.81M,$6.68M,,,
2022/10/21,5158,40786,2.90K,8.99M,$225.93M,$1.33M,$4.16M,$5.49M,,,
2022/10/22,3849,37288,2.90K,8.98M,$248.44M,$1.60M,$5.20M,$6.81M,,,
2022/10/23,4200,38342,2.91K,8.98M,$246.10M,$1.58M,$4.79M,$6.37M,,,
2022/10/24,3680,47908,2.91K,8.96M,$248.91M,$1.49M,$4.47M,$5.95M,,,
2022/10/25,3764,47641,2.91K,8.97M,$242.51M,$1.35M,$4.55M,$5.90M,,,
2022/10/26,5411,34853,2.91K,8.96M,$261.96M,$2.08M,$5.62M,$7.70M,,,
2022/10/27,5291,58044,2.91K,8.94M,$252.78M,$1.62M,$4.95M,$6.57M,,,
2022/10/28,4198,41613,2.92K,8.94M,$253.64M,$1.07M,$4.35M,$5.42M,,,
2022/10/29,4420,33846,2.92K,8.94M,$249.93M,$1.55M,$4.52M,$6.07M,,,
2022/10/30,4763,35610,2.92K,8.94M,$256.05M,$1.87M,$4.68M,$6.56M,,,
2022/10/31,5336,35486,2.92K,8.93M,$246.16M,$2.09M,$4.39M,$6.48M,,,
2022/11/1,4652,30659,2.92K,8.92M,$242.79M,$2.21M,$4.57M,$6.78M,,,
2022/11/2,4912,38984,2.92K,8.92M,$240.30M,$1.57M,$4.15M,$5.72M,,,
2022/11/3,4273,29048,2.93K,8.92M,$239.22M,$1.12M,$3.98M,$5.10M,,,
2022/11/4,4657,36536,2.93K,8.91M,$247.25M,$2.11M,$4.55M,$6.67M,,,
2022/11/5,4676,39163,2.93K,8.89M,$235.71M,$1.63M,$3.98M,$5.61M,,,
2022/11/6,4996,39946,2.94K,8.88M,$235.05M,$1.56M,$3.84M,$5.40M,,,
2022/11/7,4644,31458,2.94K,8.87M,$226.58M,$1.60M,$3.52M,$5.12M,,,
2022/11/8,4538,47605,2.94K,8.86M,$203.07M,$2.73M,$3.83M,$6.56M,,,
2022/11/9,4338,48901,2.94K,8.86M,$166.58M,$2.28M,$3.53M,$5.81M,,,
2022/11/10,4106,38932,2.94K,8.86M,$190.25M,$1.59M,$3.10M,$4.70M,,,
2022/11/11,4055,33292,2.94K,8.85M,$181.55M,$1.59M,$2.75M,$4.34M,,,
2022/11/12,3856,29780,2.94K,8.85M,$178.32M,$1.07M,$2.94M,$4.01M,,,
2022/11/13,5541,40996,2.94K,8.85M,$167.99M,$1.59M,$2.82M,$4.41M,,,
2022/11/14,3904,41094,2.94K,8.84M,$173.51M,$1.62M,$2.84M,$4.46M,,,
2022/11/15,4369,34073,2.94K,8.84M,$178.07M,$1.46M,$2.95M,$4.41M,,,
2022/11/16,3433,27102,2.94K,8.83M,$172.66M,$0.99M,$2.57M,$3.55M,,,
2022/11/17,3623,25951,2.95K,8.83M,$177.29M,$0.82M,$2.46M,$3.27M,,,
2022/11/18,4231,30436,2.95K,8.82M,$172.44M,$0.98M,$3.31M,$4.29M,,,
2022/11/19,3519,22486,2.95K,8.82M,$181.78M,$0.68M,$2.62M,$3.30M,,,
2022/11/20,3831,31998,2.95K,8.83M,$170.93M,$0.98M,$2.35M,$3.33M,,,
2022/11/21,3847,32756,2.95K,8.84M,$170.16M,$0.93M,$2.63M,$3.56M,,,
2022/11/22,3985,30275,2.96K,8.84M,$172.70M,$1.02M,$2.34M,$3.37M,,,
2022/11/23,4273,30502,2.96K,8.85M,$171.74M,$0.70M,$2.44M,$3.14M,,,
2022/11/24,3817,25248,2.96K,8.84M,$179.77M,$0.85M,$2.37M,$3.22M,,,
2022/11/25,4415,22873,2.96K,8.84M,$177.19M,$1.03M,$2.47M,$3.50M,,,
2022/11/26,3941,22879,2.96K,8.84M,$180.95M,$0.61M,$2.37M,$2.98M,,,
2022/11/27,3214,21223,2.96K,8.83M,$173.56M,$0.62M,$2.39M,$3.00M,,,
2022/11/28,3178,27081,2.96K,8.83M,$167.19M,$0.95M,$2.43M,$3.39M,,,
2022/11/29,3530,24790,2.96K,8.83M,$171.16M,$0.76M,$2.34M,$3.10M,,,
2022/11/30,5102,25723,2.96K,8.83M,$194.81M,$0.93M,$2.38M,$3.31M,,,
2022/12/1,5257,26930,2.97K,8.82M,$157.40M,$0.77M,$2.20M,$2.97M,,,
2022/12/2,4107,29409,2.97K,8.82M,$163.96M,$0.61M,$2.39M,$3.01M,,,
2022/12/3,4755,35380,2.97K,8.82M,$166.41M,$0.70M,$2.44M,$3.14M,,,
2022/12/4,5425,32093,2.97K,8.81M,$160.88M,$0.55M,$3.20M,$3.75M,,,
2022/12/5,9638,39759,2.97K,8.80M,$166.21M,$0.69M,$2.63M,$3.32M,,,
2022/12/6,3296,26928,2.97K,8.78M,$166.00M,$0.68M,$2.62M,$3.30M,,,
2022/12/7,6351,33644,2.97K,8.78M,$159.11M,$0.76M,$2.61M,$3.37M,,,
2022/12/8,3656,27190,2.97K,8.77M,$154.69M,$0.99M,$2.76M,$3.74M,,,
2022/12/9,3526,25565,2.98K,8.77M,$150.53M,$0.83M,$2.91M,$3.74M,,,
2022/12/10,3958,25955,2.98K,8.77M,$153.54M,$0.58M,$2.63M,$3.21M,,,
2022/12/11,5487,33487,2.98K,8.76M,$153.54M,$0.97M,$3.44M,$4.40M,,,
2022/12/12,3156,30024,2.98K,8.76M,$155.47M,$0.92M,$2.85M,$3.77M,,,
2022/12/13,3279,30477,2.98K,8.76M,$158.82M,$0.88M,$2.94M,$3.82M,,,
2022/12/14,2986,24440,2.98K,8.75M,$161.16M,$0.70M,$2.68M,$3.38M,,,
2022/12/15,2775,18920,2.98K,8.75M,$164.56M,$0.58M,$2.40M,$2.98M,,,
2022/12/16,2884,26897,2.98K,8.75M,$149.45M,$1.01M,$2.52M,$3.54M,,,
2022/12/17,2807,22872,2.98K,8.75M,$154.70M,$0.72M,$2.76M,$3.49M,,,
2022/12/18,2803,27021,2.98K,8.74M,$160.99M,$4.22M,$2.89M,$7.12M,,,
2022/12/19,2867,26936,2.99K,8.74M,$148.29M,$19.13M,$2.86M,$21.99M,,,
2022/12/20,3164,23502,2.99K,8.74M,$149.04M,$0.93M,$2.51M,$3.45M,,,
2022/12/21,3490,29083,2.99K,8.74M,$162.06M,$1.47M,$2.84M,$4.31M,,,
2022/12/22,4269,36900,2.99K,8.75M,$178.31M,$2.14M,$3.97M,$6.11M,,,
2022/12/23,3731,24973,2.99K,8.74M,$183.29M,$0.83M,$3.29M,$4.11M,,,
2022/12/24,3684,30813,2.99K,8.75M,$202.57M,$1.97M,$3.74M,$5.71M,,,
2022/12/25,5452,32578,2.99K,8.75M,$194.59M,$1.43M,$3.73M,$5.16M,,,
2022/12/26,13183,50903,3.00K,8.74M,$187.72M,$1.42M,$3.21M,$4.63M,,,
2022/12/27,6088,32416,3.00K,8.74M,$186.99M,$1.14M,$2.88M,$4.02M,,,
2022/12/28,5891,29408,3.02K,8.73M,$177.40M,$0.75M,$2.87M,$3.62M,,,
2022/12/29,4446,25432,3.02K,8.73M,$169.52M,$0.97M,$2.45M,$3.42M,,,
2022/12/30,3344,20202,3.02K,8.73M,$172.42M,$0.72M,$2.56M,$3.28M,,,
2022/12/31,3920,20098,3.03K,8.73M,$167.69M,$0.73M,$2.50M,$3.22M,,,
2023/1/1,3882,73735,3.03K,8.73M,$167.56M,$2.35M,$2.33M,$4.68M,,,
2023/1/2,5393,128841,3.03K,8.73M,$169.39M,$4.29M,$2.49M,$6.78M,,,
2023/1/3,4329,127031,3.03K,8.73M,$166.57M,$4.25M,$2.37M,$6.62M,,,
2023/1/4,9993,142746,3.03K,8.72M,$161.37M,$0.76M,$2.44M,$3.20M,,,
2023/1/5,9446,131910,3.03K,8.71M,$159.94M,$1.05M,$2.28M,$3.34M,,,
2023/1/6,10950,92226,3.04K,8.70M,$176.98M,$0.81M,$2.28M,$3.09M,,,
2023/1/7,7030,32826,3.04K,8.71M,$166.87M,$0.85M,$2.40M,$3.24M,,,
2023/1/8,9092,36451,3.04K,8.70M,$177.90M,$0.71M,$2.34M,$3.05M,,,
2023/1/9,3972,29526,3.04K,8.70M,$171.09M,$0.98M,$2.53M,$3.51M,,,
2023/1/10,5559,34718,3.04K,8.69M,$166.22M,$1.09M,$2.56M,$3.65M,,,
2023/1/11,6039,36562,3.04K,8.68M,$165.15M,$1.14M,$2.79M,$3.92M,,,
2023/1/12,4192,32129,3.04K,8.67M,$166.62M,$1.10M,$2.66M,$3.76M,,,
2023/1/13,4019,27896,3.04K,8.68M,$177.49M,$0.77M,$2.50M,$3.27M,,,
