Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2023/1/14,4743,38982,3.04K,8.69M,$167.48M,$1.27M,$2.54M,$3.80M,,,
2023/1/15,3518,29190,3.04K,8.69M,$171.16M,$0.74M,$2.18M,$2.92M,,,
2023/1/16,5614,30531,3.05K,8.70M,$167.02M,$0.81M,$2.50M,$3.31M,,,
2023/1/17,7813,36211,3.05K,8.69M,$178.22M,$0.97M,$2.72M,$3.69M,,,
2023/1/18,3211,28702,3.05K,8.69M,$169.26M,$1.31M,$2.49M,$3.80M,,,
2023/1/19,2704,26294,3.05K,8.69M,$177.78M,$0.55M,$2.56M,$3.12M,,,
2023/1/20,3186,25961,3.05K,8.70M,$189.78M,$1.16M,$2.59M,$3.75M,,,
2023/1/21,4002,23619,3.06K,8.69M,$177.91M,$1.03M,$2.64M,$3.67M,,,
2023/1/22,6092,27467,3.06K,8.69M,$175.10M,$0.76M,$2.24M,$3.00M,,,
2023/1/23,4938,30664,3.06K,8.68M,$189.10M,$1.55M,$2.32M,$3.86M,,,
2023/1/24,7206,31453,3.07K,8.67M,$176.53M,$0.82M,$2.44M,$3.26M,,,
2023/1/25,9271,34038,3.07K,8.66M,$178.61M,$0.72M,$2.48M,$3.20M,,,
2023/1/26,4896,28276,3.07K,8.66M,$175.35M,$0.94M,$2.44M,$3.37M,,,
2023/1/27,3760,25778,3.10K,8.65M,$176.43M,$0.88M,$2.34M,$3.22M,,,
2023/1/28,6721,33971,3.12K,8.65M,$173.93M,$0.76M,$2.39M,$3.15M,,,
2023/1/29,4025,27426,3.12K,8.62M,$178.08M,$0.50M,$2.46M,$2.97M,,,
2023/1/30,3013,25310,3.12K,8.61M,$174.17M,$0.79M,$1.85M,$2.64M,,,
2023/1/31,3055,25891,3.14K,8.60M,$174.54M,$0.73M,$2.18M,$2.91M,,,
2023/2/1,3078,27408,3.14K,8.60M,$176.59M,$1.03M,$2.44M,$3.47M,,,
2023/2/2,5894,30222,3.14K,8.59M,$178.58M,$0.73M,$2.43M,$3.16M,,,
2023/2/3,3150,26179,3.15K,8.60M,$180.61M,$1.80M,$2.11M,$3.91M,,,
2023/2/4,3681,27189,3.15K,8.59M,$186.94M,$1.03M,$2.24M,$3.28M,,,
2023/2/5,3691,26576,3.15K,8.59M,$178.01M,$0.91M,$2.10M,$3.01M,,,
2023/2/6,3301,22323,3.15K,8.60M,$178.14M,$0.72M,$2.09M,$2.81M,,,
2023/2/7,3116,22484,3.16K,8.59M,$186.91M,$1.07M,$2.11M,$3.17M,,,
2023/2/8,2903,21394,3.16K,8.59M,$185.75M,$0.74M,$2.71M,$3.44M,,,
2023/2/9,3283,26352,3.16K,8.58M,$175.56M,$1.23M,$2.72M,$3.94M,,,
2023/2/10,4082,26806,3.16K,8.58M,$180.48M,$1.10M,$2.31M,$3.41M,,,
2023/2/11,4004,26433,3.16K,8.57M,$188.03M,$0.54M,$2.15M,$2.68M,,,
2023/2/12,3091,23728,3.16K,8.57M,$187.61M,$0.39M,$2.24M,$2.63M,,,
2023/2/13,6786,43210,3.16K,8.55M,$170.24M,$0.88M,$2.41M,$3.29M,,,
2023/2/14,8290,43497,3.17K,8.55M,$168.53M,$0.67M,$2.38M,$3.05M,,,
2023/2/15,5343,33238,3.17K,8.55M,$187.10M,$0.94M,$2.63M,$3.57M,,,
2023/2/16,5749,28464,3.17K,8.55M,$180.71M,$0.56M,$2.49M,$3.05M,,,
2023/2/17,3655,26954,3.17K,8.54M,$187.06M,$0.62M,$2.22M,$2.83M,,,
2023/2/18,3201,27624,3.17K,8.54M,$192.89M,$0.95M,$2.25M,$3.20M,,,
2023/2/19,3336,27075,3.18K,8.52M,$183.86M,$0.91M,$2.42M,$3.33M,,,
2023/2/20,3370,31344,3.18K,8.52M,$192.29M,$1.25M,$2.69M,$3.94M,,,
2023/2/21,3281,34070,3.18K,8.52M,$190.48M,$1.70M,$2.75M,$4.46M,,,
2023/2/22,3118,28375,3.18K,8.52M,$198.59M,$1.59M,$2.89M,$4.48M,,,
2023/2/23,2804,23074,3.18K,8.52M,$181.50M,$1.05M,$3.11M,$4.16M,,,
2023/2/24,3106,22764,3.18K,8.52M,$183.03M,$1.03M,$3.87M,$4.90M,,,
2023/2/25,3553,22690,3.18K,8.51M,$186.64M,$0.64M,$7.75M,$8.38M,,,
2023/2/26,3436,24642,3.18K,8.50M,$191.84M,$0.61M,$6.13M,$6.74M,,,
2023/2/27,2642,22327,3.19K,8.50M,$185.79M,$0.90M,$2.68M,$3.57M,,,
2023/2/28,3218,28642,3.19K,8.49M,$191.28M,$1.64M,$2.84M,$4.48M,,,
2023/3/1,3124,24850,3.19K,8.49M,$199.24M,$1.22M,$2.88M,$4.10M,,,
2023/3/2,3063,28764,3.19K,8.48M,$210.63M,$1.78M,$3.60M,$5.38M,,,
2023/3/3,4563,32769,3.19K,8.47M,$202.65M,$1.51M,$2.98M,$4.49M,,,
2023/3/4,2670,22143,3.19K,8.47M,$204.85M,$1.08M,$2.56M,$3.64M,,,
2023/3/5,3050,21693,3.20K,8.47M,$205.77M,$0.75M,$2.19M,$2.94M,,,
2023/3/6,2654,22957,3.20K,8.46M,$202.85M,$1.77M,$2.51M,$4.27M,,,
2023/3/7,3448,24455,3.20K,8.46M,$197.65M,$1.17M,$2.99M,$4.15M,,,
2023/3/8,3029,24996,3.20K,8.46M,$195.37M,$1.66M,$3.25M,$4.91M,,,
2023/3/9,2877,24475,3.20K,8.45M,$172.90M,$1.63M,$3.13M,$4.76M,,,
2023/3/10,2634,22705,3.20K,8.45M,$181.97M,$1.37M,$3.23M,$4.60M,,,
2023/3/11,2583,25222,3.20K,8.45M,$182.80M,$1.34M,$2.79M,$4.14M,,,
2023/3/12,2457,23087,3.20K,8.44M,$187.37M,$1.29M,$3.05M,$4.33M,,,
2023/3/13,2708,20574,3.20K,8.44M,$191.89M,$0.95M,$3.13M,$4.08M,,,
2023/3/14,2549,17749,3.20K,8.44M,$184.08M,$1.01M,$3.27M,$4.28M,,,
2023/3/15,2333,18820,3.20K,8.43M,$178.12M,$0.78M,$3.29M,$4.08M,,,
2023/3/16,2311,19455,3.20K,8.43M,$183.93M,$0.69M,$3.05M,$3.73M,,,
2023/3/17,2310,19849,3.20K,8.43M,$196.06M,$1.02M,$3.04M,$4.06M,,,
2023/3/18,2816,21478,3.20K,8.42M,$187.53M,$0.95M,$2.92M,$3.87M,,,
2023/3/19,2815,18207,3.21K,8.42M,$189.05M,$0.88M,$2.57M,$3.45M,,,
2023/3/20,2864,21820,3.21K,8.41M,$188.52M,$1.24M,$3.10M,$4.34M,,,
2023/3/21,4896,41554,3.21K,8.40M,$222.34M,$4.30M,$4.42M,$8.72M,,,
2023/3/22,3974,33958,3.21K,8.39M,$204.12M,$2.23M,$3.80M,$6.02M,,,
2023/3/23,4212,42687,3.21K,8.39M,$226.37M,$4.72M,$6.36M,$11.08M,,,
2023/3/24,4029,35515,3.21K,8.39M,$183.57M,$4.64M,$4.74M,$9.38M,,,
2023/3/25,2839,23561,3.21K,8.38M,$174.69M,$1.71M,$2.66M,$4.37M,,,
2023/3/26,2637,21106,3.21K,8.37M,$173.87M,$0.95M,$2.59M,$3.54M,,,
2023/3/27,4231,25745,3.21K,8.36M,$152.40M,$1.49M,$2.64M,$4.14M,,,
2023/3/28,3388,42385,3.21K,8.35M,$175.86M,$1.89M,$2.56M,$4.45M,,,
2023/3/29,4396,52009,3.21K,8.33M,$168.37M,$2.91M,$3.20M,$6.11M,,,
2023/3/30,2565,22342,3.21K,8.32M,$177.83M,$0.92M,$2.51M,$3.43M,,,
2023/3/31,2454,21709,3.22K,8.32M,$181.34M,$1.06M,$2.60M,$3.66M,,,
2023/4/1,2432,19046,3.22K,8.31M,$161.54M,$1.07M,$2.50M,$3.56M,,,
2023/4/2,2635,21889,3.22K,8.31M,$164.86M,$1.27M,$2.63M,$3.90M,,,
2023/4/3,2299,17244,3.22K,8.31M,$157.65M,$0.87M,$2.29M,$3.15M,,,
2023/4/4,1995,16437,3.22K,8.31M,$174.17M,$0.71M,$2.82M,$3.53M,,,
2023/4/5,2279,17799,3.23K,8.31M,$173.86M,$1.49M,$3.23M,$4.72M,,,
2023/4/6,2633,17356,3.23K,8.30M,$177.10M,$0.51M,$2.68M,$3.19M,,,
2023/4/7,2606,15563,3.23K,8.29M,$170.53M,$0.51M,$2.53M,$3.03M,,,
2023/4/8,2302,15094,3.23K,8.29M,$180.40M,$1.01M,$2.86M,$3.88M,,,
2023/4/9,2209,13809,3.23K,8.28M,$174.33M,$0.96M,$3.31M,$4.27M,,,
2023/4/10,2047,11510,3.23K,8.28M,$172.71M,$0.72M,$3.61M,$4.33M,,,
2023/4/11,2192,13781,3.23K,8.27M,$169.41M,$0.77M,$3.51M,$4.29M,,,
2023/4/12,1955,13114,3.23K,8.27M,$178.68M,$0.48M,$3.76M,$4.24M,,,
2023/4/13,2105,15268,3.23K,8.27M,$177.12M,$0.59M,$3.49M,$4.08M,,,
2023/4/14,8201,30223,3.23K,8.23M,$182.67M,$0.98M,$3.14M,$4.11M,,,
2023/4/15,2041,12533,3.23K,8.22M,$175.31M,$0.29M,$3.41M,$3.70M,,,
2023/4/16,1793,12395,3.23K,8.22M,$170.77M,$0.34M,$2.80M,$3.14M,,,
2023/4/17,1862,12999,3.23K,8.21M,$165.44M,$0.41M,$2.79M,$3.20M,,,
2023/4/18,2215,15253,3.23K,8.21M,$169.50M,$0.55M,$2.84M,$3.39M,,,
2023/4/19,1980,17026,3.24K,8.20M,$155.33M,$0.72M,$2.79M,$3.52M,,,
2023/4/20,1877,19792,3.24K,8.20M,$143.10M,$0.88M,$3.40M,$4.28M,,,
2023/4/21,2385,19847,3.24K,8.20M,$144.01M,$1.00M,$2.60M,$3.60M,,,
2023/4/22,1870,17546,3.24K,8.19M,$152.45M,$0.54M,$2.91M,$3.44M,,,
2023/4/23,1657,12775,3.24K,8.19M,$149.65M,$0.36M,$2.96M,$3.32M,,,
2023/4/24,1763,12909,3.24K,8.20M,$149.18M,$0.51M,$2.84M,$3.34M,,,
2023/4/25,1721,12137,3.24K,8.19M,$152.08M,$0.40M,$2.43M,$2.83M,,,
2023/4/26,1798,14240,3.24K,8.19M,$150.41M,$1.02M,$2.60M,$3.63M,,,
2023/4/27,1814,12969,3.24K,8.19M,$153.44M,$0.45M,$2.52M,$2.96M,,,
2023/4/28,1667,12062,3.24K,8.18M,$151.06M,$0.54M,$2.47M,$3.00M,,,
2023/4/29,1641,11573,3.24K,8.18M,$153.96M,$0.33M,$2.54M,$2.87M,,,
2023/4/30,1741,13208,3.24K,8.17M,$153.34M,$0.34M,$2.30M,$2.65M,,,
2023/5/1,1708,11647,3.24K,8.17M,$149.89M,$0.35M,$2.54M,$2.88M,,,
2023/5/2,1933,12916,3.24K,8.17M,$152.65M,$0.29M,$2.18M,$2.47M,,,
2023/5/3,1704,13396,3.24K,8.17M,$153.79M,$0.45M,$2.66M,$3.11M,,,
2023/5/4,1803,13711,3.24K,8.16M,$151.74M,$0.31M,$2.81M,$3.13M,,,
2023/5/5,1689,14835,3.25K,8.16M,$151.22M,$0.39M,$2.77M,$3.16M,,,
2023/5/6,1919,14356,3.25K,8.16M,$153.04M,$0.34M,$3.07M,$3.41M,,,
2023/5/7,2001,15138,3.25K,8.15M,$146.83M,$0.23M,$2.73M,$2.96M,,,
2023/5/8,2513,18387,3.25K,8.15M,$136.72M,$0.73M,$3.26M,$3.99M,,,
2023/5/9,1917,13389,3.26K,8.15M,$143.25M,$0.34M,$2.93M,$3.27M,,,
2023/5/10,1817,12560,3.26K,8.15M,$148.62M,$0.41M,$2.02M,$2.44M,,,
2023/5/11,1678,12946,3.20K,8.14M,$133.24M,$0.42M,$2.81M,$3.23M,,,
2023/5/12,1642,13916,3.20K,8.14M,$134.80M,$0.29M,$2.89M,$3.19M,,,
2023/5/13,1489,12087,3.20K,8.14M,$131.75M,$0.15M,$2.29M,$2.44M,,,
2023/5/14,1469,10565,3.20K,8.14M,$130.92M,$0.11M,$2.21M,$2.32M,,,
2023/5/15,1978,13641,3.20K,8.14M,$130.86M,$0.24M,$2.77M,$3.01M,,,
2023/5/16,2663,18156,3.20K,8.13M,$130.38M,$0.53M,$3.13M,$3.66M,,,
2023/5/17,3849,19954,3.20K,8.13M,$130.71M,$0.54M,$3.21M,$3.75M,,,
2023/5/18,2533,18006,3.20K,8.12M,$134.85M,$0.51M,$2.70M,$3.21M,,,
2023/5/19,2468,18167,3.20K,8.11M,$136.88M,$0.57M,$2.70M,$3.27M,,,
2023/5/20,1846,13710,3.20K,8.11M,$145.58M,$0.36M,$2.55M,$2.91M,,,
2023/5/21,1919,14595,3.20K,8.11M,$142.72M,$0.22M,$2.33M,$2.54M,,,
2023/5/22,2049,15890,3.21K,8.10M,$144.11M,$0.41M,$2.36M,$2.77M,,,
2023/5/23,2255,15043,3.21K,8.10M,$138.69M,$0.32M,$2.58M,$2.90M,,,
2023/5/24,2320,15943,3.21K,8.09M,$136.53M,$0.30M,$2.49M,$2.79M,,,
2023/5/25,1755,15920,3.21K,8.09M,$134.61M,$0.41M,$2.44M,$2.84M,,,
2023/5/26,1959,16098,3.21K,8.09M,$134.25M,$0.35M,$2.35M,$2.70M,,,
2023/5/27,1845,16876,3.21K,8.09M,$134.94M,$0.44M,$2.60M,$3.04M,,,
2023/5/28,1780,14528,3.21K,8.09M,$129.92M,$0.78M,$2.23M,$3.01M,,,
2023/5/29,2095,14626,3.21K,8.09M,$131.54M,$0.43M,$2.43M,$2.86M,,,
2023/5/30,2224,18819,3.22K,8.08M,$139.97M,$0.64M,$2.59M,$3.23M,,,
2023/5/31,1919,14663,3.22K,8.07M,$137.49M,$0.50M,$2.60M,$3.10M,,,
2023/6/1,1872,12922,3.23K,8.07M,$137.30M,$0.50M,$2.61M,$3.10M,,,
2023/6/2,2092,14607,3.23K,8.06M,$141.03M,$0.39M,$2.29M,$2.68M,,,
2023/6/3,2280,16632,3.23K,8.06M,$141.83M,$0.76M,$2.34M,$3.10M,,,
2023/6/4,2101,15029,3.23K,8.06M,$138.93M,$0.89M,$2.11M,$2.99M,,,
2023/6/5,2002,15545,3.23K,8.04M,$132.23M,$1.09M,$2.35M,$3.44M,,,
2023/6/6,1708,14680,3.23K,8.04M,$121.42M,$0.43M,$2.79M,$3.22M,,,
2023/6/7,1764,12895,3.24K,8.04M,$117.79M,$0.40M,$2.51M,$2.91M,,,
2023/6/8,1779,13451,3.24K,8.03M,$133.46M,$0.50M,$2.36M,$2.86M,,,
2023/6/9,2039,14684,3.24K,8.03M,$132.99M,$0.52M,$2.31M,$2.83M,,,
2023/6/10,1914,17882,3.24K,8.03M,$122.55M,$1.05M,$2.33M,$3.38M,,,
2023/6/11,1633,12851,3.24K,8.02M,$131.35M,$0.47M,$2.19M,$2.66M,,,
2023/6/12,1803,16205,3.24K,8.02M,$123.83M,$0.32M,$2.55M,$2.87M,,,
2023/6/13,2325,20263,3.24K,8.01M,$127.79M,$1.22M,$2.67M,$3.88M,,,
2023/6/14,1673,16000,3.25K,8.01M,$124.06M,$1.97M,$2.94M,$4.92M,,,
2023/6/15,1706,12450,3.25K,8.01M,$125.08M,$0.47M,$3.02M,$3.49M,,,
2023/6/16,1738,13083,3.25K,8.01M,$125.39M,$0.49M,$2.51M,$2.99M,,,
2023/6/17,1708,12355,3.25K,8.00M,$125.77M,$0.56M,$2.37M,$2.93M,,,
2023/6/18,1564,11649,3.26K,8.00M,$130.77M,$0.33M,$2.19M,$2.51M,,,
2023/6/19,1978,12465,3.26K,8.00M,$131.45M,$0.47M,$2.32M,$2.79M,,,
2023/6/20,1562,12135,3.26K,8.00M,$131.80M,$0.39M,$2.45M,$2.84M,,,
2023/6/21,2157,16512,3.26K,7.99M,$126.67M,$0.69M,$2.53M,$3.22M,,,
2023/6/22,1788,14460,3.26K,7.99M,$138.17M,$0.47M,$2.56M,$3.02M,,,
2023/6/23,1998,13807,3.26K,7.99M,$127.08M,$0.51M,$2.50M,$3.01M,,,
2023/6/24,1366,11097,3.26K,7.99M,$130.08M,$0.45M,$2.30M,$2.76M,,,
2023/6/25,1505,11701,3.26K,7.98M,$133.81M,$0.31M,$2.50M,$2.82M,,,
2023/6/26,1443,15901,3.26K,7.98M,$135.40M,$0.58M,$2.58M,$3.15M,,,
2023/6/27,1493,11543,3.26K,7.98M,$134.30M,$0.49M,$2.13M,$2.62M,,,
2023/6/28,1524,13184,3.26K,7.97M,$138.36M,$0.77M,$2.38M,$3.15M,,,
2023/6/29,1515,12363,3.26K,7.97M,$123.99M,$0.61M,$2.68M,$3.29M,,,
2023/6/30,2019,15516,3.26K,7.97M,$133.69M,$0.67M,$2.94M,$3.61M,,,
2023/7/1,1543,10353,3.26K,7.95M,$138.66M,$0.31M,$2.59M,$2.90M,,,
2023/7/2,1714,13174,3.27K,7.95M,$131.94M,$0.37M,$2.50M,$2.88M,,,
2023/7/3,1862,17631,3.27K,7.95M,$137.26M,$0.77M,$3.07M,$3.84M,,,
2023/7/4,1513,10358,3.27K,7.94M,$138.02M,$0.46M,$2.67M,$3.13M,,,
2023/7/5,1599,13573,3.27K,7.94M,$143.99M,$0.59M,$2.53M,$3.12M,,,
2023/7/6,1666,14229,3.27K,7.94M,$142.00M,$0.63M,$2.51M,$3.14M,,,
2023/7/7,1538,13532,3.27K,7.94M,$137.28M,$0.37M,$2.08M,$2.45M,,,
2023/7/8,1407,9959,3.27K,7.93M,$143.36M,$0.29M,$1.95M,$2.23M,,,
2023/7/9,1495,10621,3.27K,7.93M,$132.24M,$0.33M,$1.93M,$2.26M,,,
2023/7/10,1612,13855,3.27K,7.93M,$134.15M,$0.42M,$1.97M,$2.40M,,,
2023/7/11,1423,13163,3.27K,7.93M,$133.78M,$0.29M,$2.04M,$2.33M,,,
2023/7/12,1380,13179,3.27K,7.93M,$133.41M,$0.32M,$1.92M,$2.24M,,,
2023/7/13,4876,51677,3.27K,7.92M,$169.56M,$6.03M,$4.52M,$10.55M,,,
2023/7/14,3977,37810,3.27K,7.89M,$163.89M,$1.81M,$3.23M,$5.04M,,,
2023/7/15,2231,17125,3.27K,7.87M,$166.17M,$0.92M,$2.66M,$3.58M,,,
2023/7/16,2246,18816,3.27K,7.86M,$172.59M,$1.19M,$2.31M,$3.50M,,,
2023/7/17,1983,18160,3.28K,7.85M,$168.52M,$0.74M,$2.56M,$3.30M,,,
2023/7/18,2039,15708,3.28K,7.85M,$171.20M,$1.21M,$2.51M,$3.72M,,,
2023/7/19,2745,25462,3.28K,7.83M,$180.90M,$2.24M,$3.35M,$5.59M,,,
2023/7/20,2444,21684,3.28K,7.82M,$176.26M,$1.08M,$3.14M,$4.22M,,,
2023/7/21,2423,19237,3.28K,7.81M,$187.78M,$0.76M,$3.38M,$4.14M,,,
2023/7/22,1833,15984,3.28K,7.81M,$179.12M,$0.73M,$3.26M,$3.99M,,,
2023/7/23,2727,17850,3.29K,7.80M,$166.56M,$0.74M,$3.57M,$4.31M,,,
2023/7/24,1942,15219,3.29K,7.80M,$157.44M,$0.88M,$3.00M,$3.88M,,,
2023/7/25,1635,14753,3.29K,7.79M,$166.54M,$0.78M,$3.17M,$3.94M,,,
2023/7/26,1608,17399,3.30K,7.79M,$174.61M,$0.49M,$3.11M,$3.60M,,,
2023/7/27,1874,18226,3.30K,7.79M,$157.03M,$0.84M,$3.73M,$4.56M,,,
2023/7/28,1509,12860,3.30K,7.78M,$167.46M,$0.55M,$3.52M,$4.07M,,,
2023/7/29,1575,12244,3.30K,7.78M,$161.06M,$0.43M,$3.36M,$3.79M,,,
2023/7/30,1711,16366,3.30K,7.78M,$160.65M,$0.59M,$3.73M,$4.32M,,,
2023/7/31,1558,20478,3.30K,7.77M,$162.88M,$0.43M,$3.32M,$3.75M,,,
2023/8/1,1799,21427,3.30K,7.77M,$163.82M,$0.65M,$3.42M,$4.07M,,,
2023/8/2,2262,23664,3.30K,7.77M,$154.44M,$0.81M,$3.56M,$4.36M,,,
2023/8/3,1762,23921,3.31K,7.76M,$154.78M,$1.03M,$3.39M,$4.42M,,,
2023/8/4,1824,24194,3.31K,7.76M,$149.98M,$1.53M,$3.23M,$4.77M,,,
2023/8/5,1693,21466,3.31K,7.76M,$150.39M,$0.99M,$2.78M,$3.76M,,,
2023/8/6,1467,20118,3.31K,7.76M,$147.96M,$0.70M,$3.12M,$3.82M,,,
2023/8/7,1546,31080,3.31K,7.75M,$147.43M,$9.09M,$3.18M,$12.27M,,,
2023/8/8,1572,59927,3.31K,7.75M,$149.19M,$30.60M,$3.50M,$34.10M,,,
2023/8/9,1474,35772,3.31K,7.74M,$156.64M,$13.67M,$3.40M,$17.07M,,,
2023/8/10,1495,45055,3.31K,7.74M,$151.44M,$18.79M,$3.55M,$22.34M,,,
2023/8/11,1651,18079,3.31K,7.74M,$150.14M,$0.30M,$3.45M,$3.74M,,,
2023/8/12,1439,46635,3.31K,7.74M,$140.16M,$20.30M,$3.09M,$23.38M,,,
2023/8/13,1520,66021,3.31K,7.73M,$146.15M,$33.55M,$3.08M,$36.63M,,,
2023/8/14,1394,59578,3.31K,7.73M,$140.13M,$29.57M,$3.38M,$32.95M,,,
2023/8/15,1493,48525,3.31K,7.72M,$136.70M,$20.42M,$3.02M,$23.45M,,,
2023/8/16,1396,48023,3.31K,7.72M,$140.91M,$19.30M,$2.94M,$22.25M,,,
2023/8/17,1730,31928,3.31K,7.72M,$120.68M,$1.15M,$3.29M,$4.44M,,,
2023/8/18,1686,28978,3.31K,7.71M,$128.92M,$0.52M,$2.85M,$3.37M,,,
2023/8/19,1679,22011,3.31K,7.71M,$120.96M,$0.41M,$2.84M,$3.25M,,,
2023/8/20,1382,22774,3.31K,7.71M,$119.55M,$0.39M,$2.50M,$2.89M,,,
2023/8/21,1286,17542,3.31K,7.70M,$117.10M,$0.37M,$2.30M,$2.66M,,,
2023/8/22,1562,19498,3.31K,7.70M,$114.35M,$0.31M,$2.20M,$2.51M,,,
2023/8/23,1513,22721,3.31K,7.69M,$115.95M,$0.42M,$2.06M,$2.48M,,,
2023/8/24,1309,22347,3.31K,7.69M,$114.30M,$0.30M,$2.19M,$2.49M,,,
2023/8/25,1271,21881,3.31K,7.69M,$115.18M,$0.29M,$2.01M,$2.31M,,,
2023/8/26,1346,20353,3.31K,7.69M,$113.85M,$0.32M,$2.12M,$2.44M,,,
2023/8/27,1417,21903,3.31K,7.68M,$115.15M,$0.22M,$1.87M,$2.08M,,,
2023/8/28,1601,20699,3.31K,7.68M,$111.43M,$0.33M,$2.72M,$3.05M,,,
2023/8/29,1564,21866,3.31K,7.67M,$121.22M,$0.28M,$2.28M,$2.57M,,,
2023/8/30,1615,19887,3.31K,7.67M,$117.38M,$0.28M,$2.11M,$2.39M,,,
2023/8/31,1656,22592,3.31K,7.66M,$114.05M,$0.28M,$1.86M,$2.14M,,,
2023/9/1,1614,20149,3.32K,7.66M,$114.04M,$0.29M,$1.70M,$1.99M,,,
2023/9/2,1271,16589,3.32K,7.66M,$115.46M,$0.29M,$1.55M,$1.84M,,,
