Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2023/9/3,1220,16707,3.32K,7.65M,$114.47M,$0.18M,$1.72M,$1.90M,,,
2023/9/4,1209,18068,3.32K,7.65M,$118.52M,$0.23M,$1.56M,$1.80M,,,
2023/9/5,1374,20943,3.32K,7.65M,$118.73M,$0.31M,$1.66M,$1.97M,,,
2023/9/6,1314,18551,3.32K,7.65M,$118.86M,$0.23M,$1.69M,$1.93M,,,
2023/9/7,1180,21147,3.32K,7.65M,$110.22M,$0.28M,$1.63M,$1.91M,,,
2023/9/8,1293,15746,3.32K,7.64M,$108.50M,$0.44M,$1.63M,$2.07M,,,
2023/9/9,1200,18343,3.32K,7.64M,$130.14M,$0.19M,$1.67M,$1.86M,,,
2023/9/10,1253,18239,3.32K,7.64M,$124.01M,$0.18M,$1.59M,$1.78M,,,
2023/9/11,1391,19849,3.32K,7.64M,$118.88M,$0.22M,$1.81M,$2.03M,,,
2023/9/12,1596,22048,3.32K,7.64M,$120.99M,$0.15M,$2.22M,$2.37M,,,
2023/9/13,1245,21667,3.32K,7.64M,$119.19M,$0.19M,$2.07M,$2.27M,,,
2023/9/14,1306,28299,3.32K,7.64M,$119.59M,$0.33M,$2.20M,$2.53M,,,
2023/9/15,1325,15682,3.32K,7.64M,$118.03M,$0.26M,$2.34M,$2.60M,,,
2023/9/16,1206,18118,3.33K,7.63M,$107.10M,$0.18M,$2.22M,$2.41M,,,
2023/9/17,1382,22665,3.33K,7.63M,$118.79M,$0.17M,$2.15M,$2.32M,,,
2023/9/18,1321,20443,3.33K,7.63M,$112.10M,$0.27M,$2.63M,$2.90M,,,
2023/9/19,1291,17032,3.33K,7.63M,$111.35M,$0.31M,$3.64M,$3.95M,,,
2023/9/20,1673,21286,3.33K,7.63M,$113.01M,$0.59M,$2.68M,$3.27M,,,
2023/9/21,2413,23277,3.33K,7.62M,$112.48M,$0.18M,$2.67M,$2.85M,,,
2023/9/22,1171,14581,3.33K,7.62M,$116.15M,$0.24M,$2.55M,$2.79M,,,
2023/9/23,1184,13613,3.33K,7.62M,$113.17M,$0.20M,$2.46M,$2.66M,,,
2023/9/24,1218,15213,3.33K,7.62M,$115.42M,$0.18M,$2.36M,$2.54M,,,
2023/9/25,1190,11606,3.33K,7.62M,$109.70M,$0.17M,$2.72M,$2.89M,,,
2023/9/26,1125,9544,3.33K,7.62M,$106.59M,$0.23M,$2.35M,$2.59M,,,
2023/9/27,2683,15530,3.33K,7.61M,$105.63M,$0.21M,$2.25M,$2.46M,,,
2023/9/28,1340,13290,3.33K,7.61M,$107.24M,$0.19M,$2.34M,$2.53M,,,
2023/9/29,1357,16318,3.33K,7.61M,$107.24M,$0.71M,$2.46M,$3.16M,,,
2023/9/30,1093,12645,3.33K,7.61M,$112.60M,$0.24M,$2.14M,$2.37M,,,
2023/10/1,1120,13743,3.33K,7.61M,$114.48M,$0.18M,$2.32M,$2.50M,,,
2023/10/2,1120,12839,3.33K,7.60M,$107.47M,$0.27M,$2.56M,$2.83M,,,
2023/10/3,1258,14184,3.33K,7.60M,$111.84M,$0.46M,$2.44M,$2.90M,,,
2023/10/4,1245,15101,3.33K,7.60M,$113.61M,$0.37M,$2.31M,$2.67M,,,
2023/10/5,1060,10535,3.33K,7.60M,$113.10M,$0.14M,$2.33M,$2.46M,,,
2023/10/6,1077,8840,3.33K,7.60M,$112.09M,$0.12M,$2.42M,$2.55M,,,
2023/10/7,1072,8808,3.33K,7.60M,$110.44M,$0.20M,$2.21M,$2.41M,,,
2023/10/8,1146,8437,3.33K,7.59M,$108.57M,$0.15M,$2.58M,$2.74M,,,
2023/10/9,1160,9147,3.33K,7.59M,$108.88M,$0.32M,$2.58M,$2.90M,,,
2023/10/10,1061,8977,3.34K,7.59M,$107.78M,$0.17M,$2.67M,$2.84M,,,
2023/10/11,1119,14230,3.34K,7.59M,$104.39M,$0.24M,$2.55M,$2.78M,,,
2023/10/12,1124,15898,3.34K,7.59M,$102.28M,$0.25M,$2.66M,$2.92M,,,
2023/10/13,1371,12944,3.34K,7.59M,$102.11M,$0.15M,$2.62M,$2.78M,,,
2023/10/14,977,11107,3.34K,7.59M,$111.42M,$0.13M,$2.70M,$2.83M,,,
2023/10/15,993,10711,3.34K,7.58M,$113.31M,$0.18M,$2.57M,$2.74M,,,
2023/10/16,1092,11733,3.34K,7.58M,$106.88M,$0.25M,$3.01M,$3.26M,,,
2023/10/17,1032,14903,3.34K,7.58M,$102.84M,$0.24M,$2.74M,$2.98M,,,
2023/10/18,1041,15249,3.34K,7.58M,$98.73M,$0.15M,$2.49M,$2.65M,,,
2023/10/19,1208,18766,3.34K,7.58M,$101.49M,$0.40M,$2.46M,$2.86M,,,
2023/10/20,1268,17638,3.34K,7.58M,$111.65M,$0.32M,$2.59M,$2.92M,,,
2023/10/21,1264,18500,3.34K,7.58M,$106.05M,$0.23M,$2.49M,$2.72M,,,
2023/10/22,1128,17194,3.34K,7.58M,$110.73M,$0.20M,$2.59M,$2.79M,,,
2023/10/23,1427,20756,3.34K,7.57M,$129.84M,$0.64M,$2.97M,$3.60M,,,
2023/10/24,1855,21984,3.34K,7.57M,$124.74M,$0.97M,$3.25M,$4.22M,,,
2023/10/25,1315,13724,3.34K,7.57M,$120.31M,$0.42M,$3.35M,$3.77M,,,
2023/10/26,1261,13930,3.34K,7.56M,$111.12M,$0.20M,$3.31M,$3.51M,,,
2023/10/27,1362,12222,3.34K,7.56M,$108.03M,$0.26M,$2.88M,$3.14M,,,
2023/10/28,1168,10821,3.34K,7.56M,$113.25M,$0.16M,$2.68M,$2.84M,,,
2023/10/29,1254,13020,3.34K,7.56M,$120.32M,$0.29M,$2.69M,$2.98M,,,
2023/10/30,1438,13323,3.34K,7.55M,$107.33M,$0.29M,$3.08M,$3.37M,,,
2023/10/31,1601,15956,3.34K,7.55M,$108.18M,$0.53M,$3.25M,$3.78M,,,
2023/11/1,1502,14072,3.34K,7.55M,$110.85M,$0.60M,$3.70M,$4.30M,,,
2023/11/2,2124,17820,3.34K,7.54M,$114.12M,$0.61M,$3.11M,$3.71M,,,
2023/11/3,2074,18325,3.35K,7.54M,$121.77M,$0.82M,$3.48M,$4.30M,,,
2023/11/4,1801,16457,3.35K,7.54M,$126.55M,$0.55M,$3.08M,$3.63M,,,
2023/11/5,1870,18702,3.35K,7.53M,$131.66M,$0.71M,$3.01M,$3.72M,,,
2023/11/6,2329,20938,3.35K,7.52M,$135.75M,$1.00M,$3.60M,$4.60M,,,
2023/11/7,1784,22027,3.35K,7.52M,$130.38M,$0.94M,$3.79M,$4.72M,,,
2023/11/8,1786,20930,3.35K,7.52M,$138.04M,$0.67M,$3.45M,$4.12M,,,
2023/11/9,2208,26034,3.35K,7.51M,$135.51M,$0.72M,$3.99M,$4.71M,,,
2023/11/10,1646,21433,3.35K,7.51M,$123.22M,$0.42M,$4.49M,$4.91M,,,
2023/11/11,1540,17098,3.35K,7.51M,$124.54M,$0.38M,$3.17M,$3.56M,,,
2023/11/12,1694,14643,3.35K,7.50M,$124.53M,$0.33M,$2.92M,$3.25M,,,
2023/11/13,1825,22920,3.35K,7.50M,$128.69M,$0.89M,$4.45M,$5.34M,,,
2023/11/14,1622,23296,3.35K,7.49M,$123.20M,$0.62M,$4.83M,$5.45M,,,
2023/11/15,1391,14732,3.35K,7.49M,$128.41M,$0.31M,$3.40M,$3.71M,,,
2023/11/16,1458,13418,3.35K,7.49M,$125.76M,$0.31M,$3.60M,$3.91M,,,
2023/11/17,1379,12307,3.35K,7.49M,$122.30M,$0.51M,$5.08M,$5.59M,,,
2023/11/18,1346,10726,3.35K,7.49M,$124.81M,$0.27M,$3.36M,$3.63M,,,
2023/11/19,1230,8980,3.35K,7.48M,$121.72M,$0.29M,$3.30M,$3.59M,,,
2023/11/20,1376,10140,3.35K,7.48M,$105.27M,$0.31M,$5.40M,$5.70M,,,
2023/11/21,1420,12165,3.35K,7.48M,$114.21M,$0.38M,$3.52M,$3.90M,,,
2023/11/22,1336,10481,3.36K,7.48M,$108.14M,$0.25M,$6.07M,$6.32M,,,
2023/11/23,1259,11979,3.36K,7.48M,$117.90M,$0.25M,$6.59M,$6.84M,,,
2023/11/24,1243,10609,3.36K,7.47M,$124.24M,$0.21M,$6.37M,$6.57M,,,
2023/11/25,1325,10656,3.36K,7.47M,$131.09M,$0.24M,$3.48M,$3.72M,,,
2023/11/26,1370,11354,3.36K,7.47M,$126.45M,$0.37M,$3.50M,$3.87M,,,
2023/11/27,1402,10562,3.36K,7.47M,$121.21M,$0.39M,$6.57M,$6.97M,,,
2023/11/28,1362,11897,3.36K,7.46M,$112.07M,$0.32M,$6.47M,$6.79M,,,
2023/11/29,1448,11633,3.36K,7.46M,$121.60M,$0.42M,$5.35M,$5.76M,,,
2023/11/30,1655,13658,3.36K,7.46M,$119.67M,$0.75M,$6.17M,$6.92M,,,
2023/12/1,1722,12877,3.36K,7.46M,$128.78M,$0.44M,$5.88M,$6.32M,,,
2023/12/2,1879,14475,3.36K,7.46M,$133.59M,$0.98M,$3.78M,$4.76M,,,
2023/12/3,1888,15406,3.36K,7.45M,$129.16M,$0.61M,$3.90M,$4.50M,,,
2023/12/4,2511,23146,3.36K,7.45M,$134.18M,$1.06M,$5.68M,$6.74M,,,
2023/12/5,2145,22676,3.36K,7.45M,$139.09M,$0.79M,$5.86M,$6.65M,,,
2023/12/6,2241,19937,3.36K,7.45M,$141.92M,$0.77M,$5.61M,$6.38M,,,
2023/12/7,2296,21620,3.36K,7.44M,$145.75M,$0.75M,$3.67M,$4.43M,,,
2023/12/8,2201,20961,3.49K,7.46M,$152.74M,$0.92M,$5.73M,$6.64M,,,
2023/12/9,2221,21825,3.49K,7.46M,$146.97M,$1.03M,$5.39M,$6.42M,,,
2023/12/10,1870,17176,3.49K,7.45M,$167.55M,$0.52M,$3.61M,$4.14M,,,
2023/12/11,1970,19548,3.49K,7.45M,$134.64M,$1.12M,$6.83M,$7.95M,,,
2023/12/12,2190,19829,3.49K,7.45M,$143.22M,$0.77M,$3.64M,$4.41M,,,
2023/12/13,1945,16948,3.49K,7.44M,$144.17M,$0.85M,$3.92M,$4.77M,,,
2023/12/14,1828,16804,3.49K,7.44M,$146.15M,$0.66M,$5.58M,$6.24M,,,
2023/12/15,2054,22405,3.50K,7.44M,$145.29M,$1.07M,$5.49M,$6.57M,,,
2023/12/16,1786,17136,3.50K,7.44M,$151.24M,$0.82M,$3.81M,$4.63M,,,
2023/12/17,2343,24639,3.50K,7.44M,$163.66M,$1.49M,$6.60M,$8.09M,,,
2023/12/18,2343,22679,3.50K,7.43M,$163.55M,$1.34M,$5.87M,$7.21M,,,
2023/12/19,2408,22724,3.50K,7.43M,$185.47M,$1.08M,$4.85M,$5.93M,,,
2023/12/20,2524,28052,3.50K,7.43M,$164.21M,$1.12M,$5.14M,$6.26M,,,
2023/12/21,2185,17687,3.50K,7.43M,$170.51M,$0.88M,$4.64M,$5.52M,,,
2023/12/22,2143,16268,3.50K,7.43M,$164.86M,$0.74M,$4.19M,$4.94M,,,
2023/12/23,1975,17747,3.50K,7.42M,$172.16M,$0.85M,$3.87M,$4.71M,,,
2023/12/24,1838,14250,3.51K,7.42M,$168.13M,$1.06M,$4.21M,$5.27M,,,
2023/12/25,1715,13552,3.51K,7.42M,$177.25M,$1.07M,$4.95M,$6.01M,,,
2023/12/26,1844,17364,3.51K,7.42M,$161.50M,$0.92M,$5.19M,$6.12M,,,
2023/12/27,1683,12635,3.51K,7.41M,$188.02M,$0.43M,$4.10M,$4.54M,,,
2023/12/28,1801,16734,3.51K,7.41M,$169.83M,$0.99M,$5.57M,$6.56M,,,
2023/12/29,1752,14921,3.51K,7.41M,$169.69M,$0.80M,$6.01M,$6.80M,,,
2023/12/30,3559,20445,3.51K,7.41M,$170.65M,$0.63M,$4.74M,$5.37M,,,
2023/12/31,2679,16499,3.51K,7.41M,$166.06M,$0.69M,$4.44M,$5.13M,,,
2024/1/1,2995,18455,3.52K,7.41M,$168.52M,$0.92M,$5.10M,$6.02M,,,
2024/1/2,2690,17615,3.52K,7.42M,$165.61M,$0.72M,$4.15M,$4.87M,,,
2024/1/3,2373,21832,3.52K,7.41M,$155.00M,$1.62M,$4.56M,$6.18M,,,
2024/1/4,2245,17020,3.52K,7.41M,$157.15M,$0.66M,$4.53M,$5.19M,,,
2024/1/5,2117,17257,3.52K,7.41M,$159.79M,$0.72M,$4.74M,$5.46M,,,
2024/1/6,2916,19328,3.52K,7.41M,$158.73M,$0.47M,$4.57M,$5.04M,,,
2024/1/7,2038,15490,3.52K,7.41M,$149.72M,$0.61M,$4.68M,$5.28M,,,
2024/1/8,2022,17335,3.53K,7.41M,$157.40M,$1.04M,$3.08M,$4.11M,,,
2024/1/9,1888,14187,3.53K,7.41M,$158.92M,$0.53M,$5.05M,$5.59M,,,
2024/1/10,1900,15173,3.53K,7.41M,$148.67M,$0.98M,$5.27M,$6.25M,,,
2024/1/11,2046,16359,3.53K,7.41M,$160.62M,$0.71M,$5.61M,$6.32M,,,
2024/1/12,1887,18557,3.53K,7.41M,$151.83M,$1.20M,$4.46M,$5.66M,,,
2024/1/13,1921,13973,3.53K,7.41M,$160.45M,$0.60M,$2.44M,$3.04M,,,
2024/1/14,1920,15694,3.53K,7.41M,$161.07M,$0.68M,$2.58M,$3.26M,,,
2024/1/15,2327,18254,3.53K,7.41M,$157.20M,$0.76M,$4.77M,$5.53M,,,
2024/1/16,1903,15137,3.53K,7.41M,$156.44M,$0.64M,$4.55M,$5.19M,,,
2024/1/17,1927,15890,3.53K,7.41M,$162.42M,$0.82M,$4.46M,$5.28M,,,
2024/1/18,2060,16102,3.53K,7.41M,$152.70M,$0.74M,$3.63M,$4.36M,,,
2024/1/19,2277,22648,3.53K,7.41M,$146.49M,$1.15M,$4.95M,$6.09M,,,
2024/1/20,2372,19188,3.54K,7.42M,$146.43M,$0.43M,$3.73M,$4.16M,,,
2024/1/21,2313,14534,3.54K,7.42M,$144.23M,$0.52M,$3.47M,$3.99M,,,
2024/1/22,1933,17896,3.54K,7.42M,$135.21M,$0.66M,$3.83M,$4.48M,,,
2024/1/23,1987,16055,3.54K,7.42M,$141.43M,$0.89M,$4.24M,$5.13M,,,
2024/1/24,2330,14918,3.54K,7.42M,$139.04M,$0.51M,$2.64M,$3.15M,,,
2024/1/25,2205,17608,3.54K,7.42M,$138.83M,$0.49M,$2.15M,$2.64M,,,
2024/1/26,1919,14079,3.54K,7.42M,$143.21M,$0.51M,$2.42M,$2.94M,,,
2024/1/27,2639,16761,3.54K,7.42M,$143.84M,$0.62M,$2.24M,$2.86M,,,
2024/1/28,2445,15729,3.54K,7.41M,$139.69M,$0.68M,$2.30M,$2.98M,,,
2024/1/29,2278,14664,3.54K,7.41M,$144.08M,$0.65M,$2.34M,$2.99M,,,
2024/1/30,1990,16639,3.54K,7.41M,$137.31M,$1.13M,$2.41M,$3.53M,,,
2024/1/31,2539,19492,3.54K,7.41M,$131.69M,$1.22M,$3.47M,$4.70M,,,
2024/2/1,2264,13175,3.54K,7.41M,$122.69M,$0.64M,$4.61M,$5.26M,,,
2024/2/2,2159,15120,3.54K,7.40M,$138.70M,$0.74M,$5.09M,$5.83M,,,
2024/2/3,2160,12868,3.55K,7.40M,$141.91M,$0.46M,$4.93M,$5.38M,,,
2024/2/4,2407,16709,3.55K,7.40M,$141.84M,$0.68M,$5.41M,$6.08M,,,
2024/2/5,2150,17339,3.55K,7.40M,$139.52M,$0.48M,$6.38M,$6.86M,,,
2024/2/6,2135,14819,3.55K,7.39M,$138.96M,$0.52M,$6.00M,$6.52M,,,
2024/2/7,1958,14434,3.55K,7.39M,$137.48M,$0.66M,$5.63M,$6.29M,,,
2024/2/8,1727,13520,3.55K,7.39M,$125.82M,$0.44M,$6.01M,$6.44M,,,
2024/2/9,1626,12276,3.55K,7.39M,$140.98M,$0.53M,$6.09M,$6.63M,,,
2024/2/10,2062,12902,3.55K,7.39M,$147.35M,$0.49M,$6.58M,$7.07M,,,
2024/2/11,1933,12798,3.55K,7.39M,$144.94M,$0.43M,$6.73M,$7.16M,,,
2024/2/12,1761,13095,3.55K,7.39M,$144.80M,$0.43M,$6.34M,$6.77M,,,
2024/2/13,1753,12670,3.55K,7.39M,$143.44M,$0.49M,$6.22M,$6.71M,,,
2024/2/14,2022,15025,3.56K,7.39M,$178.42M,$0.57M,$6.68M,$7.25M,,,
2024/2/15,2093,15056,3.56K,7.39M,$159.10M,$0.49M,$6.34M,$6.83M,,,
2024/2/16,2108,15830,3.56K,7.40M,$160.30M,$0.42M,$6.01M,$6.44M,,,
2024/2/17,3358,20704,3.56K,7.39M,$149.08M,$0.66M,$5.99M,$6.65M,,,
2024/2/18,8061,32257,3.56K,7.39M,$154.86M,$0.62M,$6.09M,$6.72M,,,
2024/2/19,2901,17478,3.56K,7.38M,$150.18M,$0.49M,$6.16M,$6.65M,,,
2024/2/20,2607,19361,3.56K,7.38M,$143.29M,$0.52M,$6.17M,$6.70M,,,
2024/2/21,2078,17538,3.56K,7.38M,$141.53M,$0.45M,$6.10M,$6.55M,,,
2024/2/22,2014,15902,3.56K,7.38M,$141.76M,$0.41M,$6.32M,$6.74M,,,
2024/2/23,2034,16426,3.56K,7.38M,$141.66M,$0.41M,$6.24M,$6.65M,,,
2024/2/24,2143,14610,3.56K,7.38M,$148.56M,$0.49M,$5.69M,$6.19M,,,
2024/2/25,1869,14815,3.56K,7.38M,$144.62M,$0.49M,$4.49M,$4.98M,,,
2024/2/26,1897,16805,3.56K,7.38M,$154.07M,$0.51M,$5.49M,$6.00M,,,
2024/2/27,2261,18295,3.56K,7.38M,$158.11M,$0.68M,$6.00M,$6.69M,,,
2024/2/28,2407,21031,3.57K,7.38M,$145.21M,$0.95M,$6.62M,$7.57M,,,
2024/2/29,2535,21979,3.57K,7.38M,$145.99M,$1.12M,$6.12M,$7.25M,,,
2024/3/1,2574,18967,3.57K,7.37M,$154.48M,$0.61M,$5.82M,$6.43M,,,
2024/3/2,2549,23129,3.57K,7.37M,$144.13M,$1.06M,$6.69M,$7.75M,,,
2024/3/3,2187,21548,3.58K,7.37M,$169.74M,$0.85M,$2.56M,$3.41M,,,
2024/3/4,2369,21764,3.58K,7.36M,$158.33M,$1.02M,$6.45M,$7.47M,,,
2024/3/5,2472,27193,3.58K,7.36M,$163.08M,$1.31M,$7.24M,$8.55M,,,
2024/3/6,2223,21841,3.59K,7.36M,$171.34M,$0.89M,$6.40M,$7.29M,,,
2024/3/7,3283,23064,3.59K,7.36M,$158.84M,$0.93M,$6.97M,$7.91M,,,
2024/3/8,2281,19363,3.59K,7.36M,$168.32M,$0.75M,$7.11M,$7.86M,,,
2024/3/9,2628,20524,3.59K,7.36M,$153.50M,$0.96M,$6.59M,$7.55M,,,
2024/3/10,2462,18452,3.59K,7.37M,$126.82M,$0.87M,$3.23M,$4.10M,,,
2024/3/11,3139,28846,3.59K,7.37M,$134.26M,$2.17M,$7.37M,$9.54M,,,
2024/3/12,3301,26407,3.59K,7.37M,$134.35M,$1.21M,$7.46M,$8.67M,,,
2024/3/13,4534,24695,3.59K,7.37M,$141.03M,$0.98M,$7.76M,$8.74M,,,
2024/3/14,2758,20058,3.59K,7.36M,$157.14M,$0.78M,$6.25M,$7.03M,,,
2024/3/15,4382,36180,3.59K,7.36M,$164.68M,$1.81M,$5.50M,$7.31M,,,
2024/3/16,6956,36945,3.59K,7.36M,$159.03M,$1.17M,$4.66M,$5.82M,,,
2024/3/17,5194,30279,3.60K,7.36M,$147.27M,$1.53M,$6.30M,$7.83M,,,
2024/3/18,3689,27151,3.60K,7.36M,$146.69M,$1.39M,$5.14M,$6.53M,,,
2024/3/19,3611,26009,3.60K,7.36M,$136.79M,$1.27M,$4.06M,$5.33M,,,
2024/3/20,3745,28812,3.61K,7.37M,$150.37M,$1.27M,$4.68M,$5.95M,,,
2024/3/21,4619,32445,3.61K,7.37M,$150.50M,$1.91M,$4.24M,$6.16M,,,
2024/3/22,3672,27430,3.61K,7.37M,$148.92M,$1.26M,$5.87M,$7.13M,,,
2024/3/23,3480,23635,3.62K,7.37M,$166.10M,$0.72M,$2.53M,$3.26M,,,
2024/3/24,3066,24032,3.62K,7.37M,$165.39M,$0.84M,$2.56M,$3.39M,,,
2024/3/25,2721,20793,3.63K,7.37M,$149.62M,$0.58M,$4.84M,$5.42M,,,
2024/3/26,2997,19332,3.63K,7.36M,$144.63M,$0.78M,$3.54M,$4.33M,,,
2024/3/27,2318,19366,3.63K,7.36M,$158.83M,$0.66M,$4.96M,$5.62M,,,
2024/3/28,2720,19429,3.63K,7.36M,$146.35M,$0.51M,$2.60M,$3.11M,,,
2024/3/29,2580,17384,3.63K,7.36M,$167.87M,$0.71M,$4.16M,$4.87M,,,
2024/3/30,2467,16149,3.64K,7.36M,$160.95M,$0.45M,$4.25M,$4.70M,,,
2024/3/31,2066,13353,3.64K,7.36M,$163.59M,$0.65M,$2.07M,$2.72M,,,
2024/4/1,4520,19536,3.64K,7.36M,$142.25M,$0.66M,$4.48M,$5.13M,,,
2024/4/2,3485,18685,3.64K,7.37M,$135.61M,$0.65M,$2.38M,$3.03M,,,
2024/4/3,2993,15959,3.64K,7.37M,$133.01M,$0.51M,$4.03M,$4.53M,,,
2024/4/4,2112,16823,3.64K,7.38M,$137.62M,$0.55M,$4.13M,$4.68M,,,
2024/4/5,3735,17992,3.64K,7.38M,$133.79M,$0.56M,$4.39M,$4.95M,,,
2024/4/6,4027,17387,3.65K,7.38M,$137.14M,$0.55M,$4.86M,$5.41M,,,
2024/4/7,2242,14770,3.65K,7.37M,$137.33M,$0.54M,$4.37M,$4.90M,,,
2024/4/8,2320,15411,3.64K,7.37M,$138.36M,$0.76M,$4.65M,$5.42M,,,
2024/4/9,2487,16234,3.64K,7.37M,$135.79M,$0.60M,$4.47M,$5.07M,,,
2024/4/10,3341,21099,3.65K,7.38M,$134.11M,$0.71M,$4.65M,$5.36M,,,
2024/4/11,4569,19375,3.65K,7.38M,$169.01M,$0.61M,$4.26M,$4.87M,,,
2024/4/12,3990,24367,3.66K,7.37M,$135.51M,$0.99M,$4.18M,$5.16M,,,
2024/4/13,3115,25461,3.65K,7.38M,$124.93M,$1.17M,$3.99M,$5.16M,,,
2024/4/14,2509,19246,3.65K,7.38M,$118.02M,$0.57M,$6.58M,$7.15M,,,
2024/4/15,2699,16185,3.66K,7.38M,$114.13M,$0.43M,$4.23M,$4.66M,,,
2024/4/16,2346,13447,3.66K,7.38M,$113.81M,$0.54M,$2.78M,$3.32M,,,
2024/4/17,2058,13802,3.66K,7.37M,$125.35M,$0.37M,$3.91M,$4.28M,,,
2024/4/18,2503,15401,3.66K,7.37M,$115.11M,$0.53M,$4.28M,$4.81M,,,
2024/4/19,2441,14804,3.66K,7.38M,$114.41M,$0.44M,$4.84M,$5.28M,,,
2024/4/20,2575,13470,3.66K,7.38M,$131.14M,$0.51M,$3.95M,$4.46M,,,
2024/4/21,2288,15029,3.66K,7.38M,$118.55M,$0.32M,$4.27M,$4.59M,,,
