Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2024/4/22,2295,337512,3.67K,7.38M,$123.57M,$0.86M,$4.03M,$4.89M,,,
2024/4/23,1517,255345,3.67K,7.38M,$122.15M,$0.45M,$4.54M,$4.99M,,,
2024/4/24,1554,36842,3.67K,7.38M,$133.28M,$0.35M,$3.35M,$3.70M,,,
2024/4/25,3833,195747,3.67K,7.38M,$120.28M,$0.41M,$4.30M,$4.71M,,,
2024/4/26,2049,180462,3.67K,7.38M,$120.49M,$0.48M,$3.85M,$4.34M,,,
2024/4/27,1990,45421,3.68K,7.38M,$123.39M,$0.34M,$4.14M,$4.49M,,,
2024/4/28,2504,31307,3.68K,7.37M,$125.87M,$0.31M,$4.15M,$4.46M,,,
2024/4/29,1893,36219,3.68K,7.38M,$132.28M,$0.52M,$3.83M,$4.35M,,,
2024/4/30,2089,60371,3.68K,7.38M,$131.48M,$0.36M,$1.71M,$2.07M,,,
2024/5/1,3121,73194,3.69K,7.37M,$131.76M,$0.59M,$2.89M,$3.48M,,,
2024/5/2,4707,70369,3.69K,7.37M,$127.31M,$0.57M,$3.36M,$3.93M,,,
2024/5/3,2558,105998,3.69K,7.37M,$130.70M,$0.51M,$4.06M,$4.56M,,,
2024/5/4,2501,44037,3.69K,7.37M,$130.23M,$0.36M,$3.88M,$4.24M,,,
2024/5/5,2808,56991,3.69K,7.37M,$129.94M,$0.47M,$4.20M,$4.67M,,,
2024/5/6,3173,63566,3.70K,7.37M,$128.46M,$0.75M,$3.08M,$3.83M,,,
2024/5/7,2106,50292,3.70K,7.37M,$126.86M,$0.44M,$1.97M,$2.41M,,,
2024/5/8,3311,68722,3.70K,7.37M,$127.59M,$0.46M,$3.89M,$4.36M,,,
2024/5/9,2379,43795,3.70K,7.37M,$114.91M,$0.40M,$4.86M,$5.26M,,,
2024/5/10,2029,56181,3.70K,7.37M,$124.37M,$0.46M,$4.08M,$4.54M,,,
2024/5/11,2266,58010,3.70K,7.36M,$111.11M,$0.32M,$4.42M,$4.74M,,,
2024/5/12,1822,53024,3.70K,7.36M,$111.97M,$0.32M,$3.91M,$4.23M,,,
2024/5/13,1962,58105,3.70K,7.36M,$124.01M,$0.42M,$4.76M,$5.18M,,,
2024/5/14,1872,49708,3.70K,7.36M,$112.17M,$0.40M,$6.21M,$6.61M,,,
2024/5/15,1895,88546,3.70K,7.36M,$120.73M,$0.38M,$4.53M,$4.91M,,,
2024/5/16,2081,156672,3.70K,7.36M,$116.48M,$0.43M,$4.52M,$4.95M,,,
2024/5/17,1997,75158,3.70K,7.36M,$120.85M,$0.46M,$4.20M,$4.66M,,,
2024/5/18,4109,86355,3.71K,7.36M,$141.34M,$1.01M,$4.32M,$5.32M,,,
2024/5/19,1799,101186,3.71K,7.37M,$123.81M,$0.45M,$3.86M,$4.31M,,,
2024/5/20,2003,65872,3.71K,7.37M,$144.20M,$0.82M,$4.47M,$5.30M,,,
2024/5/21,2747,85114,3.71K,7.37M,$140.02M,$0.69M,$4.48M,$5.18M,,,
2024/5/22,1676,56891,3.71K,7.36M,$138.33M,$0.57M,$4.49M,$5.06M,,,
2024/5/23,2184,73675,3.71K,7.36M,$137.87M,$0.57M,$4.37M,$4.94M,,,
2024/5/24,1511,31994,3.71K,7.36M,$138.88M,$0.30M,$4.67M,$4.97M,,,
2024/5/25,2486,58934,3.71K,7.36M,$131.06M,$0.31M,$4.58M,$4.89M,,,
2024/5/26,2284,32833,3.71K,7.36M,$125.80M,$0.19M,$3.97M,$4.15M,,,
2024/5/27,1839,110241,3.71K,7.36M,$140.86M,$0.42M,$5.15M,$5.57M,,,
2024/5/28,1733,55099,3.71K,7.36M,$143.20M,$0.68M,$4.59M,$5.28M,,,
2024/5/29,2151,56892,3.71K,7.36M,$144.61M,$0.38M,$2.90M,$3.28M,,,
2024/5/30,1606,71257,3.71K,7.35M,$132.69M,$0.35M,$3.56M,$3.90M,,,
2024/5/31,1607,64269,3.71K,7.35M,$144.54M,$0.31M,$3.38M,$3.69M,,,
2024/6/1,1760,41991,3.72K,7.35M,$129.42M,$0.25M,$2.46M,$2.71M,,,
2024/6/2,1826,49523,3.72K,7.35M,$124.64M,$0.31M,$2.88M,$3.20M,,,
2024/6/3,1817,52434,3.72K,7.35M,$138.95M,$0.35M,$3.03M,$3.39M,,,
2024/6/4,1654,78081,3.72K,7.35M,$140.19M,$0.33M,$2.86M,$3.18M,,,
2024/6/5,1897,148690,3.72K,7.35M,$141.48M,$0.30M,$2.19M,$2.49M,,,
2024/6/6,1553,87693,3.72K,7.35M,$130.46M,$0.42M,$2.17M,$2.59M,,,
2024/6/7,2186,94765,3.72K,7.35M,$138.91M,$0.92M,$3.74M,$4.66M,,,
2024/6/8,2487,49879,3.72K,7.35M,$135.47M,$0.39M,$1.94M,$2.33M,,,
2024/6/9,2624,69213,3.73K,7.35M,$119.59M,$0.42M,$1.62M,$2.04M,,,
2024/6/10,1745,39837,3.73K,7.35M,$104.92M,$0.33M,$2.23M,$2.56M,,,
2024/6/11,1821,46306,3.73K,7.35M,$128.02M,$0.43M,$2.19M,$2.63M,,,
2024/6/12,1749,36387,3.73K,7.35M,$127.77M,$0.36M,$1.97M,$2.33M,,,
2024/6/13,1480,28444,3.73K,7.35M,$116.49M,$0.26M,$2.19M,$2.46M,,,
2024/6/14,1620,38496,3.73K,7.35M,$117.37M,$0.34M,$2.29M,$2.63M,,,
2024/6/15,1618,37978,3.73K,7.34M,$134.71M,$0.33M,$1.97M,$2.31M,,,
2024/6/16,2571,32804,3.73K,7.34M,$116.35M,$0.30M,$2.07M,$2.37M,,,
2024/6/17,1783,46081,3.73K,7.34M,$129.93M,$0.49M,$2.28M,$2.77M,,,
2024/6/18,1846,75840,3.74K,7.34M,$127.01M,$0.64M,$2.14M,$2.77M,,,
2024/6/19,1930,47408,3.74K,7.34M,$127.75M,$0.38M,$3.13M,$3.51M,,,
2024/6/20,1892,48817,3.74K,7.34M,$130.07M,$0.38M,$3.13M,$3.51M,,,
2024/6/21,1847,52861,3.74K,7.34M,$127.81M,$0.37M,$2.61M,$2.98M,,,
2024/6/22,1786,39478,3.74K,7.34M,$113.52M,$0.25M,$2.85M,$3.10M,,,
2024/6/23,1970,64636,3.74K,7.34M,$121.36M,$0.53M,$2.30M,$2.83M,,,
2024/6/24,2020,52062,3.74K,7.34M,$122.78M,$0.42M,$2.13M,$2.55M,,,
2024/6/25,1898,42035,3.75K,7.34M,$115.11M,$0.33M,$2.33M,$2.65M,,,
2024/6/26,1708,43251,3.75K,7.34M,$109.46M,$0.30M,$1.98M,$2.28M,,,
2024/6/27,2861,50918,3.75K,7.34M,$123.13M,$0.79M,$2.38M,$3.17M,,,
2024/6/28,2449,45249,3.75K,7.34M,$122.98M,$0.43M,$1.86M,$2.29M,,,
2024/6/29,2236,40769,3.75K,7.34M,$109.86M,$0.36M,$1.84M,$2.20M,,,
2024/6/30,2164,45759,3.76K,7.34M,$121.78M,$0.34M,$1.59M,$1.93M,,Avg DEX,Avg CEX
2024/7/1,2149,56331,3.76K,7.34M,$123.81M,$0.56M,$1.63M,$2.18M,,$0.64M,$4.32M
2024/7/2,2275,60676,3.76K,7.34M,$122.12M,$1.18M,$1.36M,$2.54M,,,
2024/7/3,2111,51080,3.76K,7.34M,$112.45M,$0.55M,$1.38M,$1.94M,,,
2024/7/4,2267,285322,3.76K,7.34M,$108.68M,$1.01M,$1.79M,$2.80M,,,
2024/7/5,2832,171866,3.76K,7.33M,$108.98M,$0.81M,$2.05M,$2.86M,,,
2024/7/6,2299,346588,3.76K,7.33M,$103.43M,$0.55M,$1.67M,$2.22M,,,
2024/7/7,2212,659538,3.76K,7.33M,$95.98M,$0.34M,$1.61M,$1.96M,,,
2024/7/8,2280,607534,3.76K,7.33M,$96.56M,$0.72M,$2.43M,$3.15M,,,
2024/7/9,2107,569367,3.76K,7.33M,$97.13M,$0.66M,$2.31M,$2.96M,,,
2024/7/10,2082,508468,3.77K,7.33M,$100.49M,$0.41M,$1.50M,$1.91M,,,
2024/7/11,2081,519303,3.77K,7.33M,$96.38M,$0.52M,$1.53M,$2.06M,,,
2024/7/12,2261,724973,3.77K,7.33M,$106.82M,$0.69M,$1.74M,$2.42M,,,
2024/7/13,2229,629162,3.77K,7.33M,$111.18M,$1.16M,$1.61M,$2.76M,,,
2024/7/14,1835,553226,3.77K,7.33M,$111.90M,$0.50M,$1.38M,$1.88M,,,
2024/7/15,2131,725502,3.77K,7.33M,$103.11M,$0.65M,$1.51M,$2.16M,,,
2024/7/16,2468,853538,3.77K,7.32M,$118.03M,$0.79M,$1.52M,$2.31M,,,
2024/7/17,2736,944041,3.77K,7.32M,$120.23M,$1.22M,$1.55M,$2.77M,,,
2024/7/18,2053,863214,3.77K,7.32M,$114.01M,$0.77M,$1.49M,$2.26M,,,
2024/7/19,2071,793268,3.77K,7.32M,$115.03M,$0.73M,$1.62M,$2.35M,,,
2024/7/20,1969,526244,3.77K,7.32M,$115.65M,$0.43M,$1.49M,$1.92M,,,
2024/7/21,2222,561550,3.77K,7.32M,$117.47M,$0.38M,$8.05M,$8.43M,,,
2024/7/22,2491,438445,3.78K,7.31M,$119.02M,$0.54M,$173.79M,$174.34M,,,
2024/7/23,2021,503714,3.78K,7.31M,$118.16M,$0.42M,$1.87M,$2.30M,,,
2024/7/24,2213,591338,3.78K,7.31M,$116.48M,$0.62M,$1.92M,$2.54M,,,
2024/7/25,2283,516963,3.78K,7.31M,$111.87M,$0.71M,$1.78M,$2.49M,,,
2024/7/26,2025,468972,3.78K,7.31M,$113.15M,$0.38M,$2.26M,$2.63M,,,
2024/7/27,2191,528344,3.78K,7.31M,$116.96M,$0.65M,$2.76M,$3.40M,,,
2024/7/28,2235,550791,3.78K,7.31M,$115.38M,$0.40M,$2.34M,$2.74M,,,
2024/7/29,2069,570169,3.78K,7.31M,$115.48M,$0.45M,$2.34M,$2.79M,,,
2024/7/30,2443,531385,3.78K,7.30M,$115.50M,$0.68M,$2.23M,$2.90M,,,
2024/7/31,3186,557450,3.78K,7.30M,$112.81M,$0.69M,$2.29M,$2.98M,,,
2024/8/1,2339,629288,3.79K,7.30M,$109.12M,$0.74M,$2.31M,$3.04M,,,
2024/8/2,2340,565910,3.79K,7.30M,$106.34M,$0.67M,$2.41M,$3.09M,,,
2024/8/3,2193,622332,3.79K,7.30M,$105.93M,$0.63M,$2.52M,$3.15M,,,
2024/8/4,2309,553816,3.79K,7.30M,$101.72M,$0.71M,$2.24M,$2.96M,,,
2024/8/5,2598,735067,3.79K,7.30M,$98.75M,$1.49M,$2.58M,$4.07M,,,
2024/8/6,2717,500972,3.79K,7.30M,$96.14M,$0.61M,$3.16M,$3.77M,,,
2024/8/7,2531,504440,3.79K,7.30M,$106.53M,$2.10M,$3.12M,$5.22M,,,
2024/8/8,2563,712637,3.79K,7.30M,$109.28M,$1.06M,$2.97M,$4.02M,,,
2024/8/9,3284,680993,3.79K,7.30M,$105.60M,$0.69M,$2.72M,$3.42M,,,
2024/8/10,2184,698525,3.79K,7.30M,$109.86M,$0.66M,$2.33M,$2.99M,,,
2024/8/11,3182,796340,3.79K,7.30M,$106.18M,$0.71M,$2.58M,$3.29M,,,
2024/8/12,2119,852271,3.79K,7.29M,$108.42M,$0.59M,$3.23M,$3.83M,,,
2024/8/13,2138,899050,3.79K,7.29M,$108.02M,$0.61M,$3.28M,$3.89M,,,
2024/8/15,1197,392542,3.80K,7.29M,$97.18M,$0.15M,$2.44M,$2.59M,,,
2024/8/16,2128,710594,3.80K,7.29M,$102.42M,$0.46M,$2.45M,$2.91M,,,
2024/8/17,2242,692488,3.80K,7.29M,$102.60M,$0.62M,$2.17M,$2.79M,,,
2024/8/18,2526,848106,3.80K,7.29M,$101.72M,$0.58M,$2.90M,$3.48M,,,
2024/8/19,3233,897951,3.80K,7.29M,$104.79M,$0.77M,$3.24M,$4.02M,,,
2024/8/20,2462,759615,3.80K,7.28M,$105.08M,$0.50M,$2.63M,$3.13M,,,
2024/8/21,2150,685579,3.80K,7.28M,$105.29M,$0.65M,$3.16M,$3.81M,,,
2024/8/22,2458,666792,3.80K,7.28M,$105.70M,$1.24M,$3.45M,$4.69M,,,
2024/8/23,2504,827658,3.80K,7.28M,$101.35M,$1.03M,$3.41M,$4.44M,,,
2024/8/24,2045,776803,3.80K,7.28M,$94.26M,$0.61M,$3.11M,$3.72M,,,
2024/8/25,2085,751634,3.80K,7.28M,$93.21M,$0.43M,$3.27M,$3.70M,,,
2024/8/26,2326,817396,3.80K,7.28M,$94.26M,$0.55M,$2.94M,$3.49M,,,
2024/8/27,2260,738130,3.80K,7.28M,$100.78M,$0.61M,$2.70M,$3.31M,,,
2024/8/28,2084,755940,3.80K,7.28M,$106.22M,$0.53M,$2.90M,$3.42M,,,
2024/8/29,2250,729587,3.80K,7.28M,$108.63M,$0.53M,$2.81M,$3.34M,,,
2024/8/30,2115,891835,3.81K,7.28M,$108.51M,$0.65M,$2.45M,$3.10M,,,
2024/8/31,2309,924070,3.81K,7.28M,$102.15M,$0.54M,$2.29M,$2.83M,,,
2024/9/1,2479,926144,3.81K,7.28M,$100.60M,$0.45M,$2.35M,$2.80M,,,
2024/9/2,2547,918719,3.81K,7.28M,$99.24M,$0.41M,$2.36M,$2.77M,,,
2024/9/3,2277,930146,3.81K,7.28M,$103.62M,$0.38M,$2.09M,$2.47M,,,
2024/9/4,2414,988086,3.81K,7.28M,$90.10M,$0.48M,$2.30M,$2.78M,,,
2024/9/5,2715,984668,3.81K,7.28M,$94.70M,$0.48M,$2.69M,$3.17M,,,
2024/9/6,2311,966543,3.81K,7.28M,$91.36M,$0.54M,$2.99M,$3.53M,,,
2024/9/7,2053,935697,3.81K,7.28M,$84.78M,$0.51M,$2.55M,$3.06M,,,
2024/9/8,2145,882085,3.81K,7.28M,$85.89M,$0.41M,$2.53M,$2.93M,,,
2024/9/9,2197,956826,3.81K,7.28M,$97.46M,$0.50M,$2.97M,$3.47M,,,
2024/9/10,2027,967143,3.81K,7.27M,$100.00M,$0.49M,$3.02M,$3.50M,,,
2024/9/11,2220,987891,3.81K,7.27M,$92.94M,$0.58M,$2.58M,$3.16M,,,
2024/9/12,2287,928919,3.81K,7.27M,$91.59M,$0.73M,$2.81M,$3.54M,,,
2024/9/13,2379,980172,3.81K,7.27M,$96.20M,$0.54M,$2.58M,$3.12M,,,
2024/9/14,2323,1033710,3.81K,7.27M,$96.14M,$0.71M,$2.07M,$2.78M,,,
2024/9/15,3251,1027883,3.81K,7.27M,$97.76M,$0.43M,$2.46M,$2.89M,,,
2024/9/16,2427,1016103,3.82K,7.27M,$99.16M,$0.74M,$2.77M,$3.51M,,,
2024/9/17,1646,632124,3.82K,7.26M,$99.19M,$0.27M,$2.17M,$2.45M,,,
2024/9/18,2771,545491,3.82K,7.26M,$93.36M,$0.43M,$2.42M,$2.85M,,,
2024/9/19,2378,926347,3.82K,7.26M,$106.91M,$0.50M,$2.38M,$2.88M,,,
2024/9/20,2182,982881,3.82K,7.26M,$94.59M,$0.39M,$2.48M,$2.87M,,,
2024/9/21,2199,829335,3.82K,7.26M,$107.93M,$0.42M,$2.22M,$2.64M,,,
2024/9/22,4329,998676,3.82K,7.26M,$106.79M,$0.39M,$2.36M,$2.75M,,,
2024/9/23,2250,1003729,3.82K,7.26M,$100.44M,$0.41M,$2.38M,$2.78M,,,
2024/9/24,2280,1035622,3.83K,7.25M,$97.86M,$0.54M,$2.80M,$3.34M,,,
2024/9/25,2237,949653,3.83K,7.25M,$83.56M,$0.78M,$2.46M,$3.24M,,,
2024/9/26,2308,966283,3.83K,7.25M,$99.26M,$0.47M,$2.82M,$3.29M,,,
2024/9/27,2383,922871,3.83K,7.25M,$103.31M,$0.62M,$2.41M,$3.03M,,,
2024/9/28,2502,994388,3.84K,7.25M,$99.62M,$0.97M,$2.11M,$3.08M,,,
2024/9/29,2668,1051077,3.84K,7.25M,$99.82M,$0.89M,$2.10M,$2.99M,,,
2024/9/30,2401,1075539,3.84K,7.25M,$95.77M,$0.61M,$2.66M,$3.27M,,,
2024/10/1,2401,1132152,3.84K,7.25M,$94.52M,$0.92M,$2.84M,$3.76M,,,
2024/10/2,2330,1129419,3.85K,7.25M,$89.62M,$0.97M,$2.47M,$3.44M,,,
2024/10/3,2477,1092430,3.86K,7.25M,$89.29M,$0.93M,$2.48M,$3.41M,,,
2024/10/4,2362,1091102,3.86K,7.25M,$90.95M,$0.62M,$2.37M,$2.99M,,,
2024/10/5,2329,889772,3.86K,7.25M,$78.54M,$0.46M,$2.42M,$2.88M,,,
2024/10/6,2522,854937,3.87K,7.24M,$79.23M,$0.43M,$2.24M,$2.67M,,,
2024/10/7,2455,847709,3.87K,7.24M,$80.18M,$0.51M,$2.43M,$2.94M,,,
2024/10/8,2399,788404,3.87K,7.25M,$79.88M,$0.39M,$2.16M,$2.54M,,,
2024/10/9,3710,775806,3.87K,7.25M,$90.02M,$0.60M,$2.00M,$2.60M,,,
2024/10/10,4884,915651,3.87K,7.25M,$92.79M,$0.90M,$1.36M,$2.26M,,,
2024/10/11,4226,870100,3.87K,7.25M,$93.75M,$0.84M,$0.69M,$1.53M,,,
2024/10/12,5136,541683,3.87K,7.25M,$94.13M,$0.50M,$0.42M,$0.92M,,,
2024/10/13,3310,807284,3.88K,7.25M,$95.90M,$0.52M,$0.39M,$0.91M,,,
2024/10/14,3754,933049,3.88K,7.25M,$97.52M,$0.65M,$0.67M,$1.31M,,,
2024/10/15,3014,923002,3.89K,7.25M,$95.57M,$0.53M,$0.73M,$1.25M,,,
2024/10/16,3113,840621,3.90K,7.25M,$96.54M,$0.63M,$0.69M,$1.32M,,,
2024/10/17,3239,952844,3.93K,7.25M,$95.18M,$0.91M,$0.69M,$1.60M,,,
2024/10/18,3270,866863,3.95K,7.25M,$96.10M,$0.68M,$0.70M,$1.38M,,,
2024/10/19,4849,969490,4.21K,7.26M,$96.35M,$2.00M,$0.65M,$2.65M,,,
2024/10/20,6551,1045500,4.54K,7.27M,$84.66M,$2.62M,$0.51M,$3.13M,,,
2024/10/21,7122,1065839,4.98K,7.28M,$95.63M,$2.76M,$0.88M,$3.64M,,,
2024/10/22,6253,1020909,5.17K,7.28M,$95.30M,$2.38M,$0.91M,$3.28M,,,
2024/10/23,6200,732304,5.26K,7.28M,$93.99M,$17.65M,$0.88M,$18.53M,,,
2024/10/24,7259,870521,5.33K,7.29M,$95.20M,$4.18M,$0.86M,$5.03M,,,
2024/10/25,10217,877086,5.58K,7.30M,$92.68M,$3.97M,$0.80M,$4.77M,,,
2024/10/26,9227,830669,5.81K,7.31M,$94.75M,$4.19M,$0.53M,$4.71M,,,
2024/10/27,11996,1066789,6.21K,7.32M,$82.44M,$4.78M,$0.61M,$5.39M,,,
2024/10/28,8712,995772,6.42K,7.34M,$93.61M,$6.17M,$0.83M,$6.99M,,,
2024/10/29,8813,597534,6.70K,7.34M,$97.40M,$3.07M,$0.96M,$4.03M,,,
2024/10/30,9416,519432,6.80K,7.36M,$84.72M,$2.66M,$0.87M,$3.53M,,,
2024/10/31,7627,558664,7.08K,7.37M,$99.56M,$2.53M,$0.73M,$3.26M,,,
2024/11/1,7218,463217,7.19K,7.37M,$100.39M,$2.53M,$1.02M,$3.55M,,,
2024/11/2,6659,450433,7.32K,7.37M,$86.33M,$1.77M,$0.65M,$2.42M,,,
2024/11/3,6892,396534,7.50K,7.38M,$97.70M,$1.75M,$0.75M,$2.51M,,,
2024/11/4,7070,517963,7.55K,7.38M,$96.98M,$334.43M,$0.92M,$335.35M,,,
2024/11/5,6577,424183,7.59K,7.38M,$99.22M,$2.52M,$0.79M,$3.31M,,,
2024/11/6,6734,502412,7.68K,7.39M,$102.84M,$2.31M,$1.15M,$3.47M,,,
2024/11/7,6260,534835,7.82K,7.39M,$103.67M,$1.09M,$0.88M,$1.97M,,,
2024/11/8,6246,550096,8.03K,7.40M,$101.98M,$0.98M,$0.90M,$1.88M,,,
2024/11/9,6282,547219,8.09K,7.38M,$87.27M,$0.82M,$0.75M,$1.57M,,,
2024/11/10,7589,765068,8.19K,7.38M,$90.62M,$2.06M,$0.96M,$3.02M,,,
2024/11/11,6904,619666,8.24K,7.38M,$89.60M,$1.38M,$0.96M,$2.34M,,,
2024/11/12,7853,874843,8.34K,7.38M,$98.61M,$2.71M,$1.25M,$3.96M,,,
2024/11/13,6912,754172,8.43K,7.38M,$98.96M,$1.59M,$1.03M,$2.62M,,,
2024/11/14,7099,831060,8.47K,7.37M,$80.57M,$2.40M,$1.17M,$3.58M,,,
2024/11/15,8279,855564,8.52K,7.35M,$108.51M,$2.82M,$3.97M,$6.78M,,,
2024/11/16,12282,1043551,8.58K,7.32M,$197.26M,$6.77M,$29.20M,$35.97M,,,
2024/11/17,7721,915782,8.61K,7.30M,$160.35M,$2.50M,$6.76M,$9.26M,,,
2024/11/18,8957,894604,8.66K,7.29M,$172.64M,$2.82M,$5.77M,$8.59M,,,
2024/11/19,8504,735406,8.73K,7.28M,$149.71M,$1.48M,$4.18M,$5.66M,,,
2024/11/20,8467,839737,8.79K,7.28M,$170.43M,$1.63M,$3.45M,$5.08M,,,
2024/11/21,7897,793028,8.89K,7.27M,$238.01M,$2.70M,$7.29M,$9.99M,,,
2024/11/22,11355,1043655,8.97K,7.24M,$393.96M,$10.50M,$59.48M,$69.97M,,,
2024/11/23,10120,1010705,9.02K,7.21M,$286.46M,$5.97M,$27.29M,$33.26M,,,
2024/11/24,9180,972104,9.08K,7.19M,$351.85M,$4.62M,$22.51M,$27.13M,,,
2024/11/25,7988,962165,9.16K,7.18M,$320.82M,$3.54M,$18.52M,$22.06M,,,
2024/11/26,8173,952269,9.21K,7.18M,$314.08M,$3.45M,$12.64M,$16.09M,,,
2024/11/27,9047,937620,9.35K,7.17M,$344.48M,$3.04M,$9.20M,$12.24M,,,
2024/11/28,8232,590071,9.41K,7.16M,$335.46M,$2.69M,$8.93M,$11.62M,,,
2024/11/29,10497,696787,9.48K,7.16M,$340.47M,$5.19M,$11.17M,$16.37M,,,
2024/11/30,12373,902580,9.77K,7.13M,$298.52M,$8.55M,$14.31M,$22.86M,,,
2024/12/1,24624,1270759,10.42K,7.17M,$343.62M,$14.86M,$16.69M,$31.55M,,,
2024/12/2,33086,1473852,11.06K,7.18M,$332.87M,$21.93M,$16.42M,$38.35M,,,
2024/12/3,29199,994605,11.64K,7.19M,$306.60M,$10.97M,$12.98M,$23.95M,,,
2024/12/4,20888,551856,11.90K,7.25M,$291.77M,$7.16M,$10.29M,$17.45M,,,
2024/12/5,15154,436436,12.09K,7.31M,$272.33M,$4.69M,$10.53M,$15.22M,,,
2024/12/6,14512,403289,12.24K,7.31M,$332.75M,$5.05M,$13.77M,$18.81M,,,
2024/12/7,14375,435787,12.43K,7.32M,$347.33M,$6.27M,$9.59M,$15.87M,,,
,,,,,,,,,,,
,,,,,$393.96M,,,,,,
