Date,Volume (USD),Inflow (USD),Outflow (USD),Fees (USD),TVL (USD),Contributors,Pools,XRP Pooled
2024 March,41789.28,89627.45,115579.43,285.23,339235.23,,196,405660.47
2024 April,1195078.99,2462615.96,1454273.18,8234.38,3496041.34,2567,404,3914817.94
2024 May,1130808.26,935983.23,724708.74,7922.51,4874284.96,2032,514,4942932.11
2024 June,10680311.99,5903060.79,6671070.37,98579.93,8075058.28,3136,599,8236595.48
2024 July,6407568.91,3127175.34,4311774.60,61353.67,11553664.99,2749,749,9287800.18
2024 August,5417091.95,9535990.24,9823970.74,57405.76,31670557.39,2194,782,12533971.22
2024 September,2837838.66,2700149.28,2783062.19,32930.11,17626504.00,1944,882,12285188.05
2024 October,27121594.03,5069722.65,2256156.00,102702.98,10404010.56,4544,5712,15580320.88
2024 November,65600140.90,4742314.49,6838133.89,253350.02,31161233.73,4312,8272,12339421.07
2024 December,135362062.14,17413250.03,5918872.27,453213.35,44727970.29,1819,9563,99767586.56